Species,Symbol,Ensembl,Family,Protein,Entrez.ID,updated_Entrez
Gallus_gallus,ETV1,ENSGALG00000035504,ETS,ENSGALP00000053875;,395748,395748
Gallus_gallus,ETV3L,ENSGALG00000027138,ETS,ENSGALP00000042538;,-,100857713
Gallus_gallus,ETV4,ENSGALG00000036678,ETS,ENSGALP00000049632;ENSGALP00000056885;,395747,395747
Gallus_gallus,ETV5,ENSGALG00000005768,ETS,ENSGALP00000009251;,395749,395749
Gallus_gallus,ETV6,ENSGALG00000012921,ETS,ENSGALP00000036503;,395750,395750
Gallus_gallus,ETV7,ENSGALG00000000504,ETS,ENSGALP00000000688;ENSGALP00000053859;ENSGALP00000049286;,419813,419813
Gallus_gallus,EVX1,ENSGALG00000037310,Homeobox,ENSGALP00000047409;,428434,428434
Gallus_gallus,EVX2,ENSGALG00000020768,Homeobox,ENSGALP00000032639;,771375,771375
Gallus_gallus,FERD3L,ENSGALG00000010862,bHLH,ENSGALP00000017639;,428429,428429
Gallus_gallus,FEZF1,ENSGALG00000008941,zf-C2H2,ENSGALP00000014521;,100859279,100859279
Gallus_gallus,FEZF2,ENSGALG00000007184,zf-C2H2,ENSGALP00000011620;,-,416074
Gallus_gallus,FLI1,ENSGALG00000001161,ETS,ENSGALP00000051135;ENSGALP00000001745;,419723,419723
Gallus_gallus,FOS,ENSGALG00000028037,TF_bZIP,ENSGALP00000041340;,396512,396512
Gallus_gallus,FOSB,ENSGALG00000041280,TF_bZIP,ENSGALP00000043771;,-,107049603
Gallus_gallus,FOSL2,ENSGALG00000010036,TF_bZIP,ENSGALP00000016284;,421416,421416
Gallus_gallus,FOXA1,ENSGALG00000032713,Fork_head,ENSGALP00000050398;,101752179,101752179
Gallus_gallus,FOXA2,ENSGALG00000030889,Fork_head,ENSGALP00000044955;,395539,395539
Gallus_gallus,FOXB1,ENSGALG00000027498,Fork_head,ENSGALP00000059778;,-,100859030
Gallus_gallus,FOXB2,ENSGALG00000028819,Fork_head,ENSGALP00000040916;,100859806,100859806
Gallus_gallus,FOXE1,ENSGALG00000026252,Fork_head,ENSGALP00000042022;,768789,768789
Gallus_gallus,FOXF1,ENSGALG00000034111,Fork_head,ENSGALP00000048311;,395624,395624
Gallus_gallus,FOXF2,ENSGALG00000031920,Fork_head,ENSGALP00000050667;,-,100857760
Gallus_gallus,FOXG1,ENSGALG00000036364,Fork_head,ENSGALP00000054672;,396110,396110
Gallus_gallus,FOXI1,ENSGALG00000002105,Fork_head,ENSGALP00000003279;,427613,427613
Gallus_gallus,FOXI3,ENSGALG00000037457,Fork_head,ENSGALP00000043843;,-,428801
Gallus_gallus,FOXJ1,ENSGALG00000041025,Fork_head,ENSGALP00000050869;,770009,770009
Gallus_gallus,FOXJ2,ENSGALG00000014329,Fork_head,ENSGALP00000023111;,418259,418259
Gallus_gallus,FOXK1,ENSGALG00000004460,Fork_head,ENSGALP00000007086;,395463,395463
Gallus_gallus,FOXK2,ENSGALG00000001577,Fork_head,ENSGALP00000002394;ENSGALP00000056098;,107049008,107049008
Gallus_gallus,FOXL1,ENSGALG00000029278,Fork_head,ENSGALP00000055779;,-,768576
Gallus_gallus,FOXL2,ENSGALG00000029282,Fork_head,ENSGALP00000045929;,503512,503512
Gallus_gallus,FOXM1,ENSGALG00000013420,Fork_head,ENSGALP00000044065;ENSGALP00000062282;ENSGALP00000021851;,430534,430534
Gallus_gallus,FOXN1,ENSGALG00000043868,Fork_head,ENSGALP00000005780;,417570,417570
Gallus_gallus,FOXN2,ENSGALG00000008942,Fork_head,ENSGALP00000049241;ENSGALP00000059564;ENSGALP00000014522;,421288,421288
Gallus_gallus,FOXN3,ENSGALG00000010665,Fork_head,ENSGALP00000046138;ENSGALP00000051434;ENSGALP00000048493;ENSGALP00000056715;ENSGALP00000017332;ENSGALP00000047301;,423402,423402
Gallus_gallus,FOXN4,ENSGALG00000005062,Fork_head,ENSGALP00000008103;,416898,416898
Gallus_gallus,FOXO1,ENSGALG00000017034,Fork_head,ENSGALP00000056572;ENSGALP00000027470;,374231,374231
Gallus_gallus,FOXO3,ENSGALG00000015297,Fork_head,ENSGALP00000024641;,421769,421769
Gallus_gallus,FOXO4,ENSGALG00000005658,Fork_head,ENSGALP00000009065;,-,428703
Gallus_gallus,FOXO6,ENSGALG00000026153,Fork_head,ENSGALP00000041822;,-,100857767
Gallus_gallus,FOXP1,ENSGALG00000007769,Fork_head,ENSGALP00000044290;ENSGALP00000046134;ENSGALP00000049948;ENSGALP00000012592;,416092,416092
Gallus_gallus,FOXP2,ENSGALG00000009424,Fork_head,ENSGALP00000015329;,769935,769935
Gallus_gallus,FOXP4,ENSGALG00000033497,Fork_head,ENSGALP00000055115;ENSGALP00000051852;,100858652,100858652
Gallus_gallus,FOXS1,ENSGALG00000043015,Fork_head,ENSGALP00000047360;,-,428156
Gallus_gallus,FUBP3,ENSGALG00000003941,Others,-,417184,417184
Gallus_gallus,GABPA,ENSGALG00000015763,ETS,ENSGALP00000025373;,418478,418478
Gallus_gallus,GABPB1,ENSGALG00000023440,Others,-,415453,415453
Gallus_gallus,GATA1,ENSGALG00000032491,zf-GATA,ENSGALP00000048252;,-,107050548
Gallus_gallus,GATA2,ENSGALG00000005909,zf-GATA,ENSGALP00000030109;ENSGALP00000053966;,416018,416018
Gallus_gallus,GATA3,ENSGALG00000029270,zf-GATA,ENSGALP00000058144;,419106,419106
Gallus_gallus,GATA4,ENSGALG00000016662,zf-GATA,ENSGALP00000030912;,396392,396392
Gallus_gallus,GATA5,ENSGALG00000005352,zf-GATA,ENSGALP00000008569;ENSGALP00000061801;ENSGALP00000057464;ENSGALP00000060387;,396391,396391
Gallus_gallus,GATA6,ENSGALG00000014976,zf-GATA,ENSGALP00000030913;,396390,396390
Gallus_gallus,GATAD1,ENSGALG00000009399,zf-GATA,ENSGALP00000015294;,420551,420551
Gallus_gallus,GATAD2A,ENSGALG00000042900,zf-GATA,ENSGALP00000051817;ENSGALP00000051623;ENSGALP00000058049;,420109,420109
Gallus_gallus,GATAD2B,ENSGALG00000038200,zf-GATA,ENSGALP00000058420;,426098,426098
Gallus_gallus,GBX1,ENSGALG00000042241,Homeobox,ENSGALP00000048043;,-,395377
Gallus_gallus,GBX2,ENSGALG00000013342,Homeobox,ENSGALP00000052169;ENSGALP00000021739;,-,395950
Gallus_gallus,GCFC2,ENSGALG00000044978,GCFC,ENSGALP00000062793;,-,112532130
Gallus_gallus,GCM1,ENSGALG00000016316,GCM,ENSGALP00000026273;,404300,404300
Gallus_gallus,GCM2,ENSGALG00000012768,GCM,ENSGALP00000020805;,428478,428478
Gallus_gallus,GFI1,ENSGALG00000043650,zf-C2H2,ENSGALP00000060272;ENSGALP00000055500;ENSGALP00000062420;,429088,429088
Gallus_gallus,GFI1B,ENSGALG00000003478,zf-C2H2,ENSGALP00000005496;,395977,395977
Gallus_gallus,GLI1,ENSGALG00000042422,zf-C2H2,ENSGALP00000049322;,396045,396045
Gallus_gallus,GLI2,ENSGALG00000011630,zf-C2H2,ENSGALP00000049184;ENSGALP00000044160;ENSGALP00000018975;,395956,395956
Gallus_gallus,GLI3,ENSGALG00000040266,zf-C2H2,ENSGALP00000048561;,420769,420769
Gallus_gallus,GLIS1,ENSGALG00000010721,zf-C2H2,ENSGALP00000037384;,424652,424652
Gallus_gallus,GLIS2,ENSGALG00000034737,zf-C2H2,ENSGALP00000051941;,-,374023
Gallus_gallus,GLIS3,ENSGALG00000010180,zf-C2H2,ENSGALP00000016530;,431643,431643
Gallus_gallus,GLMP,ENSGALG00000045611,NCU-G1,ENSGALP00000060630;,777136,777136
Gallus_gallus,GMEB1,ENSGALG00000038488,SAND,ENSGALP00000045087;,769918,769918
Gallus_gallus,GMEB2,ENSGALG00000039685,SAND,ENSGALP00000051809;,419264,419264
Gallus_gallus,GNOT2,ENSGALG00000010588,Homeobox,ENSGALP00000017209;,-,396117
Gallus_gallus,GPBP1,ENSGALG00000014724,Others,-,427148,427148
Gallus_gallus,GPBP1L1,ENSGALG00000010276,Others,-,424603,424603
Gallus_gallus,GRHL1,ENSGALG00000038495,CP2,ENSGALP00000045638;ENSGALP00000057534;,428651,421933
Gallus_gallus,GRHL2,ENSGALG00000037687,CP2,ENSGALP00000051578;ENSGALP00000052549;,429506,429506
Gallus_gallus,GRHL3,ENSGALG00000004249,CP2,ENSGALP00000006748;ENSGALP00000052000;,419695,419695
Gallus_gallus,GSC,ENSGALG00000010974,Homeobox,ENSGALP00000058720;ENSGALP00000017857;,396273,396273
Gallus_gallus,GSC2,ENSGALG00000044245,Homeobox,ENSGALP00000062763;,-,101750576
Gallus_gallus,GSX1,ENSGALG00000029779,Homeobox,ENSGALP00000053557;,107052208,107052208
Gallus_gallus,GTF2I,ENSGALG00000021665,GTF2I,ENSGALP00000044652;ENSGALP00000053074;ENSGALP00000001923;,417486,417486
Gallus_gallus,GTF2IRD1,ENSGALG00000001263,GTF2I,ENSGALP00000001924;,417487,417487
Gallus_gallus,GTF3A,ENSGALG00000017098,zf-C2H2,ENSGALP00000061943;ENSGALP00000027569;,418931,418931
Gallus_gallus,GZF1,ENSGALG00000008350,zf-C2H2,ENSGALP00000054750;ENSGALP00000013577;ENSGALP00000043434;,-,421233
Gallus_gallus,HAND1,ENSGALG00000035104,bHLH,ENSGALP00000044206;,395812,395812
Gallus_gallus,HAND2,ENSGALG00000030530,bHLH,ENSGALP00000049911;ENSGALP00000045960;,395813,395813
Gallus_gallus,HBP1,ENSGALG00000008050,HMG,ENSGALP00000013047;,417705,417705
Gallus_gallus,HDX,ENSGALG00000007041,Homeobox,ENSGALP00000011393;ENSGALP00000044087;,422272,422272
Gallus_gallus,HES4,ENSGALG00000002055,bHLH,ENSGALP00000063741;ENSGALP00000044461;ENSGALP00000003190;ENSGALP00000058796;,395128,395128
Gallus_gallus,HES5,ENSGALG00000001141,bHLH,ENSGALP00000064351;ENSGALP00000001713;,419392,419392
Gallus_gallus,HESX1,ENSGALG00000005506,Homeobox,ENSGALP00000008823;ENSGALP00000046226;ENSGALP00000059106;,395864,395864
Gallus_gallus,HEY2,ENSGALG00000034716,bHLH,ENSGALP00000057141;,421718,421718
Gallus_gallus,HEYL,ENSGALG00000044737,bHLH,ENSGALP00000062755;,771101,771101
Gallus_gallus,HHEX,ENSGALG00000030008,Homeobox,ENSGALP00000054964;,396182,396182
Gallus_gallus,HIC1,ENSGALG00000042077,ZBTB,ENSGALP00000053534;ENSGALP00000053534;,396164,396164
Gallus_gallus,HIC2,ENSGALG00000033416,ZBTB,ENSGALP00000048703;ENSGALP00000048703;ENSGALP00000047934;ENSGALP00000047934;,416768,416768
Gallus_gallus,HIF1A,ENSGALG00000011870,bHLH,ENSGALP00000019338;,374177,374177
Gallus_gallus,HIF1A ,ENSGALG00000042655,bHLH,ENSGALP00000052797;,-,374177
Gallus_gallus,HINFP,ENSGALG00000006806,zf-C2H2,ENSGALP00000049842;ENSGALP00000043993;ENSGALP00000010995;,419756,419756
Gallus_gallus,HIVEP1,ENSGALG00000012739,zf-C2H2,ENSGALP00000020761;,420856,420856
Gallus_gallus,HIVEP2,ENSGALG00000013795,zf-C2H2,ENSGALP00000022359;,421672,421672
Gallus_gallus,HIVEP3,ENSGALG00000027365,zf-C2H2,ENSGALP00000041421;,-,428208
Gallus_gallus,HLF,ENSGALG00000003059,TF_bZIP,ENSGALP00000004823;,417395,417395
Gallus_gallus,HLX,ENSGALG00000037257,Homeobox,ENSGALP00000057780;,107052956,107052956
Gallus_gallus,HMBOX1,ENSGALG00000016633,Homeobox,ENSGALP00000026801;,422024,422024
Gallus_gallus,HMG20A,ENSGALG00000041641,HMG,ENSGALP00000053537;,415346,415346
Gallus_gallus,HMG20B,ENSGALG00000027838,HMG,ENSGALP00000041227;,426515,426515
Gallus_gallus,HMGA1,ENSGALG00000030396,HMGA,ENSGALP00000051697;,378795,378795
Gallus_gallus,HMGA2,ENSGALG00000009875,HMGA,ENSGALP00000016038;,395851,395851
Gallus_gallus,HMGB1,ENSGALG00000042875,HMG,ENSGALP00000047606;ENSGALP00000061955;ENSGALP00000044781;,395724,395724
Gallus_gallus,HMGB2,ENSGALG00000010745,HMG,ENSGALP00000048866;ENSGALP00000017462;,396482,396482
Gallus_gallus,HMGB3,ENSGALG00000009071,HMG,ENSGALP00000014747;ENSGALP00000053623;ENSGALP00000061195;ENSGALP00000064062;,396232,396232
Gallus_gallus,HMGXB3,ENSGALG00000005770,HMG,ENSGALP00000009253;ENSGALP00000046711;,416278,416278
Gallus_gallus,HMGXB4,ENSGALG00000044768,HMG,ENSGALP00000059776;,-,418059
Gallus_gallus,HMX1,ENSGALG00000042062,Homeobox,ENSGALP00000044386;ENSGALP00000054370;,396546,396546
Gallus_gallus,HMX2,ENSGALG00000030875,Homeobox,ENSGALP00000054245;,-,768405
Gallus_gallus,HMX3,ENSGALG00000023415,Homeobox,ENSGALP00000011796;,429199,429199
Gallus_gallus,HNF1A,ENSGALG00000006968,Homeobox,ENSGALP00000060662;ENSGALP00000037563;,416967,416967
Gallus_gallus,HNF1B,ENSGALG00000005504,Homeobox,ENSGALP00000051981;ENSGALP00000008820;,427838,427838
Gallus_gallus,HNF4A,ENSGALG00000004285,RXR-like,ENSGALP00000006799;,419198,419198
Gallus_gallus,HNF4beta,ENSGALG00000005708,RXR-like,ENSGALP00000038239;,415820,415820
Gallus_gallus,HNF4G,ENSGALG00000042621,RXR-like,ENSGALP00000049839;ENSGALP00000053757;,428364,428364
Gallus_gallus,HOPX,ENSGALG00000011404,Homeobox,ENSGALP00000037156;,395241,395241
Gallus_gallus,HOXA1,ENSGALG00000028095,Homeobox,ENSGALP00000041535;ENSGALP00000049912;,374051,374051
Gallus_gallus,HOXA10,ENSGALG00000026631,Homeobox,ENSGALP00000018009;,776143,776143
Gallus_gallus,HOXA11,ENSGALG00000040021,Homeobox,ENSGALP00000046000;,395327,395327
Gallus_gallus,HOXA13,ENSGALG00000027234,Homeobox,ENSGALP00000043198;,373934,373934
Gallus_gallus,HOXA2,ENSGALG00000040521,Homeobox,ENSGALP00000044883;,396055,396055
Gallus_gallus,HOXA3,ENSGALG00000027925,Homeobox,ENSGALP00000052349;ENSGALP00000041461;ENSGALP00000064246;,395231,395231
Gallus_gallus,HOXA4,ENSGALG00000022622,Homeobox,ENSGALP00000029207;ENSGALP00000057259;,395307,395307
Gallus_gallus,HOXA5,ENSGALG00000025929,Homeobox,ENSGALP00000043005;ENSGALP00000064050;,100858404,100858404
Gallus_gallus,HOXA6,ENSGALG00000028908,Homeobox,ENSGALP00000060172;ENSGALP00000042068;ENSGALP00000050546;,420630,420630
Gallus_gallus,HOXA7,ENSGALG00000026989,Homeobox,ENSGALP00000041410;,395290,395290
Gallus_gallus,HOXA9,ENSGALG00000028983,Homeobox,ENSGALP00000018013;,396096,396096
Gallus_gallus,HOXB1,ENSGALG00000013454,Homeobox,ENSGALP00000021895;,395900,395900
Gallus_gallus,HOXB13,ENSGALG00000033154,Homeobox,ENSGALP00000049140;,771676,771676
Gallus_gallus,HOXB2,ENSGALG00000025774,Homeobox,ENSGALP00000043067;,-,429940
Gallus_gallus,HOXB3,ENSGALG00000043219,Homeobox,ENSGALP00000050233;,395502,395502
Gallus_gallus,HOXB3 ,ENSGALG00000033777,Homeobox,ENSGALP00000045117;ENSGALP00000045437;,-,395502
Gallus_gallus,HOXB4,ENSGALG00000000284,Homeobox,ENSGALP00000000372;,396230,396230
Gallus_gallus,HOXB5,ENSGALG00000034907,Homeobox,ENSGALP00000048616;,425096,425096
Gallus_gallus,HOXB7,ENSGALG00000032740,Homeobox,ENSGALP00000051004;,425962,425962
Gallus_gallus,HOXB8,ENSGALG00000040320,Homeobox,ENSGALP00000050767;,395737,395737
Gallus_gallus,HOXB9,ENSGALG00000001276,Homeobox,ENSGALP00000001945;,771865,771865
Gallus_gallus,HOXC10,ENSGALG00000029393,Homeobox,ENSGALP00000054679;,770471,770471
Gallus_gallus,HOXC11,ENSGALG00000042416,Homeobox,ENSGALP00000058411;,430698,430698
Gallus_gallus,HOXC12,ENSGALG00000033272,Homeobox,ENSGALP00000051801;,-,429400
Gallus_gallus,HOXC13,ENSGALG00000036082,Homeobox,ENSGALP00000047125;,771955,771955
Gallus_gallus,HOXC4,ENSGALG00000035539,Homeobox,ENSGALP00000047584;,107055411,107055411
Gallus_gallus,HOXC6,ENSGALG00000039051,Homeobox,ENSGALP00000047265;,100858368,100858368
Gallus_gallus,HOXC8,ENSGALG00000037262,Homeobox,ENSGALP00000050413;,395711,395711
Gallus_gallus,HOXC9,ENSGALG00000029439,Homeobox,ENSGALP00000055289;ENSGALP00000061293;,425723,425723
Gallus_gallus,HOXD10,ENSGALG00000009270,Homeobox,ENSGALP00000037896;,771246,771246
Gallus_gallus,HOXD11,ENSGALG00000039629,Homeobox,ENSGALP00000046110;,395328,395328
Gallus_gallus,HOXD12,ENSGALG00000009274,Homeobox,ENSGALP00000015070;ENSGALP00000062834;,396178,396178
Gallus_gallus,HOXD13,ENSGALG00000032039,Homeobox,ENSGALP00000054291;,396415,396415
Gallus_gallus,HOXD3,ENSGALG00000023420,Homeobox,ENSGALP00000037900;,431212,431212
Gallus_gallus,HOXD4,ENSGALG00000023419,Homeobox,ENSGALP00000037899;,424139,424139
Gallus_gallus,HOXD8,ENSGALG00000037272,Homeobox,ENSGALP00000052191;,396301,396301
Gallus_gallus,HOXD9,ENSGALG00000027513,Homeobox,ENSGALP00000029264;,771214,771214
Gallus_gallus,HSF1,ENSGALG00000036821,HSF,ENSGALP00000057858;,-,420362
Gallus_gallus,HSF2,ENSGALG00000038420,HSF,ENSGALP00000049218;ENSGALP00000050381;,421724,421724
Gallus_gallus,HSF3,ENSGALG00000040662,HSF,ENSGALP00000055723;,422169,422169
Gallus_gallus,HSF4,ENSGALG00000003224,HSF,ENSGALP00000005096;,427540,427540
Gallus_gallus,HSF5,ENSGALG00000001031,HSF,ENSGALP00000001526;ENSGALP00000034538;,417471,417471
Gallus_gallus,ID1,ENSGALG00000034661,bHLH,ENSGALP00000052143;,395282,395282
Gallus_gallus,ID2,ENSGALG00000035016,bHLH,ENSGALP00000051620;,395852,395852
Gallus_gallus,ID3,ENSGALG00000035317,bHLH,ENSGALP00000056330;,395281,395281
Gallus_gallus,ID4,ENSGALG00000039474,bHLH,ENSGALP00000050623;ENSGALP00000057047;,374150,374150
Gallus_gallus,IKZF1,ENSGALG00000013086,zf-C2H2,ENSGALP00000049484;ENSGALP00000021333;,395974,395974
Gallus_gallus,IKZF2,ENSGALG00000003136,zf-C2H2,ENSGALP00000039156;ENSGALP00000045496;ENSGALP00000054330;ENSGALP00000004949;,395309,395309
Gallus_gallus,IKZF3,ENSGALG00000013481,zf-C2H2,ENSGALP00000021927;,395614,395614
Gallus_gallus,IKZF4,ENSGALG00000035734,zf-C2H2,ENSGALP00000045817;,101747801,101747801
Gallus_gallus,IKZF5,ENSGALG00000032289,zf-C2H2,ENSGALP00000056934;,430882,430882
Gallus_gallus,IRF1,ENSGALG00000006785,IRF,ENSGALP00000002242;,396384,396384
Gallus_gallus,IRF2,ENSGALG00000010642,IRF,ENSGALP00000037458;ENSGALP00000055620;,396115,396115
Gallus_gallus,IRF4,ENSGALG00000012830,IRF,ENSGALP00000036413;ENSGALP00000020897;,374179,374179
Gallus_gallus,IRF4 ,ENSGALG00000043913,IRF,ENSGALP00000062140;,-,374179
Gallus_gallus,IRF5,ENSGALG00000039982,IRF,ENSGALP00000049860;,-,430409
Gallus_gallus,IRF6,ENSGALG00000001405,IRF,ENSGALP00000039479;,419863,419863
Gallus_gallus,IRF7,ENSGALG00000014297,IRF,ENSGALP00000038233;,396330,396330
Gallus_gallus,IRF8,ENSGALG00000005757,IRF,ENSGALP00000009229;,396385,396385
Gallus_gallus,IRF9,ENSGALG00000030291,IRF,ENSGALP00000046144;,395243,395243
Gallus_gallus,IRX1,ENSGALG00000030991,Homeobox,ENSGALP00000055830;ENSGALP00000047540;,374185,374185
Gallus_gallus,IRX2,ENSGALG00000013193,Homeobox,ENSGALP00000021521;,373975,373975
Gallus_gallus,IRX3,ENSGALG00000042045,Homeobox,ENSGALP00000047311;,107054273,107054273
Gallus_gallus,IRX4,ENSGALG00000022896,Homeobox,ENSGALP00000036193;,373974,373974
Gallus_gallus,IRX6,ENSGALG00000023738,Homeobox,ENSGALP00000047340;ENSGALP00000030349;,-,107054265
Gallus_gallus,ISL1,ENSGALG00000014884,Homeobox,ENSGALP00000038117;ENSGALP00000043151;,396383,396383
Gallus_gallus,ISL2,ENSGALG00000033391,Homeobox,ENSGALP00000055627;ENSGALP00000051615;,396382,396382
Gallus_gallus,ISX,ENSGALG00000012557,Homeobox,ENSGALP00000020477;,418060,418060
Gallus_gallus,JARID2,ENSGALG00000012702,ARID,ENSGALP00000020711;,420839,420839
Gallus_gallus,JAZF1,ENSGALG00000030455,zf-C2H2,ENSGALP00000051531;,420633,420633
Gallus_gallus,JDP2,ENSGALG00000010322,TF_bZIP,ENSGALP00000016784;,423363,423363
Gallus_gallus,JUN,ENSGALG00000010870,TF_bZIP,ENSGALP00000037247;,424673,424673
Gallus_gallus,JUND,ENSGALG00000043641,TF_bZIP,ENSGALP00000058357;,107055370,107055370
Gallus_gallus,KIAA1549,ENSGALG00000012796,Others,-,100857885,100857885
Gallus_gallus,KLF10,ENSGALG00000037913,zf-C2H2,ENSGALP00000055499;,420255,420255
Gallus_gallus,KLF11,ENSGALG00000016440,zf-C2H2,ENSGALP00000026472;,421934,421934
Gallus_gallus,KLF12,ENSGALG00000016926,zf-C2H2,ENSGALP00000035726;ENSGALP00000044654;ENSGALP00000044699;ENSGALP00000044858;ENSGALP00000052643;,418817,418817
Gallus_gallus,KLF13,ENSGALG00000032748,zf-C2H2,ENSGALP00000045830;,-,427493
Gallus_gallus,KLF15,ENSGALG00000046455,zf-C2H2,ENSGALP00000058972;,-,427588
Gallus_gallus,KLF15,ENSGALG00000036133,zf-C2H2,ENSGALP00000053518;,427588,427588
Gallus_gallus,KLF2,ENSGALG00000003939,zf-C2H2,ENSGALP00000006265;,420148,420148
Gallus_gallus,KLF3,ENSGALG00000041717,zf-C2H2,ENSGALP00000053488;,429811,429811
Gallus_gallus,KLF4,ENSGALG00000026928,zf-C2H2,ENSGALP00000041546;,770254,770254
Gallus_gallus,KLF4,ENSGALG00000010101,zf-C2H2,ENSGALP00000032535;,-,424577
Gallus_gallus,KLF5,ENSGALG00000043720,zf-C2H2,ENSGALP00000056421;,-,418818
Gallus_gallus,KLF6,ENSGALG00000033178,zf-C2H2,ENSGALP00000049438;,420463,420463
Gallus_gallus,KLF7,ENSGALG00000008501,zf-C2H2,ENSGALP00000013833;,429011,429011
Gallus_gallus,KLF8 ,ENSGALG00000044078,zf-C2H2,ENSGALP00000063556;,-,101749773
Gallus_gallus,KLF9,ENSGALG00000027374,zf-C2H2,ENSGALP00000043265;,770238,770238
Gallus_gallus,L3MBTL1,ENSGALG00000030710,zf-C2HC,ENSGALP00000043698;,419115,419115
Gallus_gallus,LBX1,ENSGALG00000035544,Homeobox,ENSGALP00000046283;ENSGALP00000044633;,-,100431103
Gallus_gallus,LBX2,ENSGALG00000031211,Homeobox,ENSGALP00000052107;,-,431414
Gallus_gallus,LCORL,ENSGALG00000014421,HTH,ENSGALP00000028143;,422820,422820
Gallus_gallus,LEF1,ENSGALG00000031960,HMG,ENSGALP00000050823;,395865,395865
Gallus_gallus,LHX1,ENSGALG00000005409,Homeobox,ENSGALP00000008672;,396381,396381
Gallus_gallus,LHX2,ENSGALG00000001124,Homeobox,ENSGALP00000054956;ENSGALP00000055784;ENSGALP00000001691;,395705,395705
Gallus_gallus,LHX3,ENSGALG00000003928,Homeobox,ENSGALP00000002660;,373940,373940
Gallus_gallus,LHX4,ENSGALG00000036587,Homeobox,ENSGALP00000058540;,776024,776024
Gallus_gallus,LHX5,ENSGALG00000008303,Homeobox,ENSGALP00000013502;,771259,771259
Gallus_gallus,LHX6,ENSGALG00000001347,Homeobox,ENSGALP00000002055;ENSGALP00000044370;,-,772259
Gallus_gallus,LHX8,ENSGALG00000011369,Homeobox,ENSGALP00000018523;,424721,424721
Gallus_gallus,LHX9,ENSGALG00000002223,Homeobox,ENSGALP00000003475;,396397,396397
Gallus_gallus,LIN28A,ENSGALG00000036022,CSD,ENSGALP00000056558;,428206,428206
Gallus_gallus,LIN28B,ENSGALG00000026761,CSD,ENSGALP00000040862;ENSGALP00000052382;,421786,421786
Gallus_gallus,LITAF,ENSGALG00000003217,zf-LITAF-like,ENSGALP00000005086;,374125,374125
Gallus_gallus,LMX1A,ENSGALG00000003424,Homeobox,ENSGALP00000005401;,777133,777133
Gallus_gallus,LMX1B,ENSGALG00000040582,Homeobox,ENSGALP00000054070;,396312,396312
Gallus_gallus,LOC100859084,ENSGALG00000040039,zf-C2H2,ENSGALP00000057782;,-,100859084
Gallus_gallus,LOC100859862,ENSGALG00000027212,HSF,ENSGALP00000042435;,-,100859862
Gallus_gallus,LOC107048990 ,ENSGALG00000040546,zf-C2H2,ENSGALP00000055581;,-,107048990
Gallus_gallus,LOC107049095 ,ENSGALG00000045986,zf-C2H2,ENSGALP00000058603;,-,107049095
Gallus_gallus,LOC107049738,ENSGALG00000045454,zf-C2H2,ENSGALP00000062944;,-,107049738
Gallus_gallus,LOC107049738,ENSGALG00000045315,zf-C2H2,ENSGALP00000062737;,-,107049738
Gallus_gallus,LOC107049738,ENSGALG00000046574,zf-C2H2,ENSGALP00000062887;,-,107049738
Gallus_gallus,LOC107049738,ENSGALG00000044068,zf-C2H2,ENSGALP00000062353;,-,107049738
Gallus_gallus,LOC107049738 ,ENSGALG00000046367,zf-C2H2,ENSGALP00000063652;,-,107049738
Gallus_gallus,LOC107049738 ,ENSGALG00000046040,zf-C2H2,ENSGALP00000061342;,-,107049738
Gallus_gallus,LOC107049738 ,ENSGALG00000044963,zf-C2H2,ENSGALP00000062466;,-,107049738
Gallus_gallus,LOC107049901 ,ENSGALG00000029956,zf-C2H2,ENSGALP00000047987;,-,107049901
Gallus_gallus,LOC107049901 ,ENSGALG00000039490,zf-C2H2,ENSGALP00000043629;,-,107049901
Gallus_gallus,LOC107049968 ,ENSGALG00000032833,Homeobox,ENSGALP00000043552;ENSGALP00000057603;,-,107049968
Gallus_gallus,LOC107050199,ENSGALG00000037463,COE,ENSGALP00000056374;,-,107050199
Gallus_gallus,LOC107050199 ,ENSGALG00000032512,COE,ENSGALP00000054634;,-,107050199
Gallus_gallus,LOC107051255,ENSGALG00000036751,ETS,ENSGALP00000058536;,-,107051255
Gallus_gallus,LOC107051255 ,ENSGALG00000036480,ETS,ENSGALP00000057315;,-,107051255
Gallus_gallus,LOC107054634 ,ENSGALG00000034222,zf-LITAF-like,ENSGALP00000054749;,-,107054634
Gallus_gallus,LOC107054982 ,ENSGALG00000035656,zf-MIZ,ENSGALP00000055070;ENSGALP00000055139;,-,107054982
Gallus_gallus,LOC107055114 ,ENSGALG00000038359,zf-MIZ,ENSGALP00000048511;,-,107055114
Gallus_gallus,LOC107056377 ,ENSGALG00000031464,Homeobox,ENSGALP00000051288;,-,107056377
Gallus_gallus,LOC107056685,ENSGALG00000032330,ZBTB,ENSGALP00000053148;ENSGALP00000053148;ENSGALP00000056827;,107056685,107056685
Gallus_gallus,LOC107057099 ,ENSGALG00000044472,zf-C2H2,ENSGALP00000062235;,-,107057099
Gallus_gallus,LOC107057099 ,ENSGALG00000034219,zf-C2H2,ENSGALP00000043979;,-,107057099
Gallus_gallus,LOC112530730,ENSGALG00000044558,GCFC,ENSGALP00000061786;,-,112530730
Gallus_gallus,LOC112530730,ENSGALG00000046191,GCFC,ENSGALP00000059894;,-,112530730
