"Chick_ENSEMBL","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000014716",395684,3572,"IL6ST","No"
"ENSGALG00000014717",100858831,79722,"ANKRD55","No"
"ENSGALG00000014718",427144,4214,"MAP3K1","No"
"ENSGALG00000014719",NA,NA,NA,"No"
"ENSGALG00000014721",427146,166968,"MIER3","Transcription Factor"
"ENSGALG00000014722",769174,4973,"OLR1","No"
"ENSGALG00000014723",769118,23710,"GABARAPL1","No"
"ENSGALG00000014724",427148,65056,"GPBP1","Transcription Factor"
"ENSGALG00000014725",427150,10769,"PLK2","No"
"ENSGALG00000014726",770370,115827,"RAB3C","No"
"ENSGALG00000014727",769469,5144,"PDE4D","No"
"ENSGALG00000014729",427152,55789,"DEPDC1B","No"
"ENSGALG00000014730",431579,79993,"ELOVL7","No"
"ENSGALG00000014732",427153,1161,"ERCC8","No"
"ENSGALG00000014734",770670,57688,"ZSWIM6","No"
"ENSGALG00000014736",418306,NA,NA,"No"
"ENSGALG00000014737",427156,3796,"KIF2A","No"
"ENSGALG00000014740",769679,51194,"IPO11","No"
"ENSGALG00000014742",431581,3350,"HTR1A","No"
"ENSGALG00000014743",101747752,285671,"RNF180","No"
"ENSGALG00000014746",418307,55503,"TRPV6","No"
"ENSGALG00000014747",427159,10283,"CWC27","No"
"ENSGALG00000014749",418308,2051,"EPHB6","No"
"ENSGALG00000014750",NA,NA,"TRBV24-1","No"
"ENSGALG00000014751",427160,11174,"ADAMTS6","No"
"ENSGALG00000014753",427162,64105,"CENPK","No"
"ENSGALG00000014754",NA,NA,"TRBV28","No"
"ENSGALG00000014756",427163,23398,"PPWD1","No"
"ENSGALG00000014758",421053,79822,"ARHGAP28","No"
"ENSGALG00000014759",418310,55359,"STYK1","No"
"ENSGALG00000014762",NA,NA,NA,"No"
"ENSGALG00000014765",427164,373,"TRIM23","No"
"ENSGALG00000014766",418311,51179,"HAO2","No"
"ENSGALG00000014767",427165,80006,"TRAPPC13","No"
"ENSGALG00000014768",427166,54557,"SGTB","No"
"ENSGALG00000014769",427167,57486,"NLN","No"
"ENSGALG00000014772",101750690,10352,"WARS2","No"
"ENSGALG00000014773",431583,55914,"ERBIN","No"
"ENSGALG00000014776",418313,6913,"TBX15","Transcription Factor"
"ENSGALG00000014784",427169,375449,"MAST4","No"
"ENSGALG00000014786",427171,5295,"PIK3R1","No"
"ENSGALG00000014787",427173,64924,"SLC30A5","No"
"ENSGALG00000014788",395316,64946,"CENPH","No"
"ENSGALG00000014789",771273,92259,"MRPS36","No"
"ENSGALG00000014790",771294,1022,"CDK7","No"
"ENSGALG00000014791",427952,10885,"WDR3","No"
"ENSGALG00000014793",100859693,9229,"DLGAP1","No"
"ENSGALG00000014794",425913,54834,"GDAP2","No"
"ENSGALG00000014795",396339,7050,"TGIF1","Transcription Factor"
"ENSGALG00000014798",427175,256987,"SERINC5","No"
"ENSGALG00000014799",421056,64863,"METTL4","No"
"ENSGALG00000014800",395821,523,"ATP6V1A","No"
"ENSGALG00000014801",395134,10403,"NDC80","No"
"ENSGALG00000014804",396306,1311,"THBS4","No"
"ENSGALG00000014807",427176,345778,"MTX3","No"
"ENSGALG00000014810",427178,167153,"TENT2","No"
"ENSGALG00000014811",421057,23347,"SMCHD1","No"
"ENSGALG00000014812",418321,54847,"SIDT1","No"
"ENSGALG00000014813",427181,9456,"HOMER1","No"
"ENSGALG00000014818",769776,80263,"TRIM45","No"
"ENSGALG00000014819",427182,133746,"JMY","No"
"ENSGALG00000014820",101752024,79679,"VTCN1","No"
"ENSGALG00000014821",769224,387357,"THEMIS","No"
"ENSGALG00000014824",427183,5734,"PTGER4","No"
"ENSGALG00000014826",427184,23548,"TTC33","No"
"ENSGALG00000014828",769021,55862,"ECHDC1","No"
"ENSGALG00000014831",378793,60487,"TRMT11","No"
"ENSGALG00000014832",427185,5562,"PRKAA1","No"
"ENSGALG00000014833",427186,6167,"RPL37","No"
"ENSGALG00000014834",421717,135112,"NCOA7","No"
"ENSGALG00000014835",427187,730,"C7","No"
"ENSGALG00000014836",421059,9663,"LPIN2","No"
"ENSGALG00000014840",431585,729,"C6","No"
"ENSGALG00000014841",421719,51020,"HDDC2","No"
"ENSGALG00000014843",374049,7164,"TPD52L1","No"
"ENSGALG00000014845",100857889,345557,"PLCXD3","No"
"ENSGALG00000014846",427190,64064,"OXCT1","No"
"ENSGALG00000014847",395805,8736,"MYOM1","No"
"ENSGALG00000014848",NA,10345,"TRDN","No"
"ENSGALG00000014851",431586,26272,"FBXO4","No"
"ENSGALG00000014853",428616,134829,"CLVS2","No"
"ENSGALG00000014854",396284,NA,"MYL12A","No"
"ENSGALG00000014855",408184,2690,"GHR","No"
"ENSGALG00000014857",NA,NA,NA,"No"
"ENSGALG00000014858",408251,116,"ADCYAP1","No"
"ENSGALG00000014859",431588,7690,"ZNF131","Transcription Factor"
"ENSGALG00000014860",396238,7525,"YES1","No"
"ENSGALG00000014861",768482,167359,"NIM1K","No"
"ENSGALG00000014862",396379,3157,"HMGCS1","No"
"ENSGALG00000014863",427193,64417,"TMEM267","No"
"ENSGALG00000014865",427194,375444,"C5orf34","No"
"ENSGALG00000014867",427195,10605,"PAIP1","No"
"ENSGALG00000014868",421722,57515,"SERINC1","No"
"ENSGALG00000014869",427196,23530,"NNT","No"
"ENSGALG00000014872",395432,2255,"FGF10","No"
"ENSGALG00000014873",395278,2697,"GJA1","No"
"ENSGALG00000014874",395781,10884,"MRPS30","No"
"ENSGALG00000014875",431590,348980,"HCN1","No"
"ENSGALG00000014876",421725,221322,"TBC1D32","No"
"ENSGALG00000014877",395242,133418,"EMB","No"
"ENSGALG00000014878",421726,4121,"MAN1A1","No"
"ENSGALG00000014880",427198,79668,"PARP8","No"
"ENSGALG00000014881",421727,79632,"FAM184A","No"
"ENSGALG00000014883",100857742,254394,"MCM9","No"
"ENSGALG00000014884",396383,3670,"ISL1","Transcription Factor"
"ENSGALG00000014887",723780,25842,"ASF1A","No"
"ENSGALG00000014891",395951,3672,"PELO","No"
"ENSGALG00000014892",100857774,387119,"CEP85L","No"
"ENSGALG00000014897",421060,7298,"TYMS","No"
"ENSGALG00000014899",421733,116150,"NUS1","No"
"ENSGALG00000014900",NA,NA,NA,"No"
"ENSGALG00000014901",431184,79066,"METTL16","No"
"ENSGALG00000014902",770364,57120,"GOPC","No"
"ENSGALG00000014903",100857227,3673,"ITGA2","No"
"ENSGALG00000014904",768430,27098,"CLUL1","No"
"ENSGALG00000014906",427199,4338,"MOCS2","No"
"ENSGALG00000014907",421734,285761,"DCBLD1","No"
"ENSGALG00000014908",396119,10468,"FST","No"
"ENSGALG00000014910",421061,81035,"COLEC12","No"
"ENSGALG00000014911",769515,54622,"ARL15","No"
"ENSGALG00000014913",396192,6098,"ROS1","No"
"ENSGALG00000014914",NA,112574,"SNX18","No"
"ENSGALG00000014915",421062,9984,"THOC1","No"
"ENSGALG00000014916",395344,54466,"SPIN1Z","No"
"ENSGALG00000014917",421735,245806,"VGLL2","Transcription Factor"
"ENSGALG00000014918",421737,222546,"RFX6","Transcription Factor"
"ENSGALG00000014920",421063,9097,"USP14","No"
"ENSGALG00000014922",373970,6093,"ROCK1","No"
"ENSGALG00000014923",427201,64283,"ARHGEF28","No"
"ENSGALG00000014924",418326,10721,"POLQ","No"
"ENSGALG00000014925",428620,222545,"GPRC6A","No"
"ENSGALG00000014930",427203,8507,"ENC1","No"
"ENSGALG00000014931",422839,9364,"RAB28","No"
"ENSGALG00000014933",427204,3074,"HEXB","No"
"ENSGALG00000014934",422840,9957,"HS3ST1","No"
"ENSGALG00000014935",421064,80000,"GREB1L","No"
"ENSGALG00000014936",421067,114799,"ESCO1","No"
"ENSGALG00000014937",421738,3841,"KPNA5","No"
"ENSGALG00000014938",421068,171586,"ABHD3","No"
"ENSGALG00000014939",427205,84340,"GFM2","No"
"ENSGALG00000014940",421739,221302,"ZUP1","No"
"ENSGALG00000014942",427206,10412,"NSA2","No"
"ENSGALG00000014943",431595,26049,"FAM169A","No"
"ENSGALG00000014944",427207,51301,"GCNT4","No"
"ENSGALG00000014948",395145,3156,"HMGCR","No"
"ENSGALG00000014949",418329,285282,"RABL3","No"
"ENSGALG00000014950",421740,6817,"SULT1A1","No"
"ENSGALG00000014952",427209,10087,"CERT1","No"
"ENSGALG00000014953",421741,51389,"RWDD1","No"
"ENSGALG00000014954",422841,85460,"ZNF518B","Transcription Factor"
"ENSGALG00000014955",421742,221301,"CALHM4","No"
"ENSGALG00000014956",374003,51426,"POLK","No"
"ENSGALG00000014957",422842,9948,"WDR1","No"
"ENSGALG00000014958",431596,728780,"ANKDD1B","No"
"ENSGALG00000014960",427210,NA,NA,"No"
"ENSGALG00000014962",421744,441168,"CALHM6","No"
"ENSGALG00000014963",421745,NA,"Z84488.2","No"
"ENSGALG00000014964",421746,221294,"NT5DC1","No"
"ENSGALG00000014965",100858979,NA,NA,"No"
"ENSGALG00000014966",418330,3081,"HGD","No"
"ENSGALG00000014967",431597,22987,"SV2C","No"
"ENSGALG00000014970",395349,11167,"FSTL1","No"
"ENSGALG00000014971",422843,56606,"SLC2A9","No"
"ENSGALG00000014973",418333,165829,"GPR156","No"
"ENSGALG00000014974",421069,57534,"MIB1","No"
"ENSGALG00000014975",427552,1816,"DRD5","No"
"ENSGALG00000014976",396390,2627,"GATA6","Transcription Factor"
"ENSGALG00000014977",418335,2932,"GSK3B","No"
"ENSGALG00000014978",427211,10788,"IQGAP2","No"
"ENSGALG00000014979",421747,2444,"FRK","No"
"ENSGALG00000014980",NA,NA,"AC069444.2","No"
"ENSGALG00000014981",770190,NA,"COX17","No"
"ENSGALG00000014982",421071,5932,"RBBP8","No"
"ENSGALG00000014983",427212,2149,"F2R","No"
"ENSGALG00000014984",427213,2150,"F2RL1","No"
"ENSGALG00000014988",404229,64091,"POPDC2","No"
"ENSGALG00000014989",431598,170591,"S100Z","No"
"ENSGALG00000014991",395635,3066,"HDAC2","No"
"ENSGALG00000014992",422845,85013,"TMEM128","No"
"ENSGALG00000014994",427214,1393,"CRHBP","No"
"ENSGALG00000014995",427215,5239,"PGM5","No"
"ENSGALG00000014997",770199,51365,"PLA1A","No"
"ENSGALG00000014998",768914,91768,"CABLES1","No"
"ENSGALG00000014999",396174,4131,"MAP1B","No"
"ENSGALG00000015000",422846,55646,"LYAR","Transcription Factor"
"ENSGALG00000015001",421749,3910,"LAMA4","No"
"ENSGALG00000015002",427216,23107,"MRPS27","No"
"ENSGALG00000015004",421074,8780,"RIOK3","No"
"ENSGALG00000015006",770247,126868,"MAB21L3","No"
"ENSGALG00000015008",431599,167465,"ZNF366","Transcription Factor"
"ENSGALG00000015009",422847,166793,"ZBTB49","Transcription Factor"
"ENSGALG00000015010",395251,27065,"NSG1","No"
"ENSGALG00000015012",422848,53407,"STX18","No"
"ENSGALG00000015013",396484,4487,"MSX1","Transcription Factor"
"ENSGALG00000015014",427218,3842,"TNPO1","No"
"ENSGALG00000015015",422849,54360,"CYTL1","No"
"ENSGALG00000015016",418336,55356,"SLC22A15","No"
"ENSGALG00000015017",421750,51175,"TUBE1","No"
"ENSGALG00000015018",395198,845,"CASQ2","No"
"ENSGALG00000015019",NA,115548,"FCHO2","No"
"ENSGALG00000015020",768886,134285,"TMEM171","No"
"ENSGALG00000015021",768886,134288,"TMEM174","No"
"ENSGALG00000015022",396294,2534,"FYN","No"
"ENSGALG00000015024",427222,10171,"RCL1","No"
"ENSGALG00000015025",418337,81839,"VANGL1","No"
"ENSGALG00000015026",421752,NA,NA,"No"
"ENSGALG00000015027",374199,3717,"JAK2","No"
"ENSGALG00000015028",427223,NA,"RLN3","No"
"ENSGALG00000015029",770095,132884,"EVC2","No"
"ENSGALG00000015030",421076,4864,"NPC1","No"
"ENSGALG00000015032",427224,80380,"PDCD1LG2","No"
"ENSGALG00000015033",428622,5980,"REV3L","No"
"ENSGALG00000015034",428523,147463,"ANKRD29","No"
"ENSGALG00000015036",427226,57589,"RIC1","No"
"ENSGALG00000015037",422851,2121,"EVC","No"
"ENSGALG00000015038",418338,9557,"CHD1L","No"
"ENSGALG00000015040",421753,117247,"SLC16A10","No"
"ENSGALG00000015044",421754,112495,"GTF3C6","No"
"ENSGALG00000015045",101750948,162515,"SLC16A11","No"
"ENSGALG00000015050",427227,158358,"KIAA2026","No"
"ENSGALG00000015051",421756,23097,"CDK19","No"
"ENSGALG00000015052",431601,115426,"UHRF2","No"
"ENSGALG00000015053",374222,2731,"GLDC","No"
"ENSGALG00000015055",421757,85413,"SLC22A16","No"
"ENSGALG00000015056",428524,3909,"LAMA3","No"
"ENSGALG00000015057",770953,8528,"DDO","No"
"ENSGALG00000015058",431602,5789,"PTPRD","No"
"ENSGALG00000015059",418339,NA,NA,"No"
"ENSGALG00000015061",421760,51362,"CDC40","No"
"ENSGALG00000015062",101750245,338376,"IFNE","No"
"ENSGALG00000015064",421077,125488,"TTC39C","No"
"ENSGALG00000015066",421761,8936,"WASF1","No"
"ENSGALG00000015068",NA,2830,"GPR6","No"
"ENSGALG00000015069",418341,8702,"B4GALT4","No"
"ENSGALG00000015070",421762,9896,"FIG4","No"
"ENSGALG00000015071",427233,54914,"FOCAD","No"
"ENSGALG00000015073",418340,55254,"TMEM39A","No"
"ENSGALG00000015075",408180,NA,"B3GAT1L","No"
"ENSGALG00000015077",NA,57514,"ARHGAP31","No"
"ENSGALG00000015078",427234,4300,"MLLT3","Transcription Factor"
"ENSGALG00000015079",418345,7348,"UPK1B","No"
"ENSGALG00000015080",414891,25769,"SLC24A2","No"
"ENSGALG00000015081",427235,340485,"ACER2","No"
"ENSGALG00000015082",396148,6194,"RPS6","No"
"ENSGALG00000015083",427236,55667,"DENND4C","No"
"ENSGALG00000015084",418346,152404,"IGSF11","No"
"ENSGALG00000015086",421079,114876,"OSBPL1A","No"
"ENSGALG00000015089",427955,2596,"GAP43","No"
"ENSGALG00000015090",427237,123,"PLIN2","No"
"ENSGALG00000015091",427238,54801,"HAUS6","No"
"ENSGALG00000015093",421080,55364,"IMPACT","No"
"ENSGALG00000015094",100859265,26137,"ZBTB20","Transcription Factor"
"ENSGALG00000015096",395203,NA,"SH3GL2","No"
"ENSGALG00000015101",431604,54796,"BNC2","Transcription Factor"
"ENSGALG00000015103",427242,203238,"CCDC171","No"
"ENSGALG00000015105",431605,11168,"PSIP1","No"
"ENSGALG00000015107",427243,8395,"PIP5K1B","No"
"ENSGALG00000015108",427244,2395,"FXN","No"
"ENSGALG00000015109",395751,9414,"TJP2","No"
"ENSGALG00000015110",NA,9413,"FAM189A2","No"
"ENSGALG00000015111",427246,320,"APBA1","No"
"ENSGALG00000015112",421083,25925,"ZNF521","Transcription Factor"
"ENSGALG00000015113",431607,375743,"PTAR1","No"
"ENSGALG00000015115",427247,256691,"MAMDC2","No"
"ENSGALG00000015117",770757,1814,"DRD3","No"
"ENSGALG00000015118",431608,NA,"SMC5","No"
"ENSGALG00000015119",421085,6760,"SS18","No"
"ENSGALG00000015122",421086,6875,"TAF4B","Transcription Factor"
"ENSGALG00000015123",418353,254887,"ZDHHC23","No"
"ENSGALG00000015124",421087,284252,"KCTD1","No"
"ENSGALG00000015126",427249,80036,"TRPM3","No"
"ENSGALG00000015128",421088,361,"AQP4","No"
"ENSGALG00000015132",414745,1000,"CDH2","No"
"ENSGALG00000015133",427956,2838,"GPR15","No"
"ENSGALG00000015134",396476,NA,"APOV1","No"
"ENSGALG00000015136",418358,286676,"ILDR1","No"
"ENSGALG00000015138",427250,23670,"ABHD17B","No"
"ENSGALG00000015140",428527,1824,"DSC2","No"
"ENSGALG00000015141",427253,9615,"GDA","No"
"ENSGALG00000015142",428529,1829,"DSG2","No"
"ENSGALG00000015143",396277,7276,"TTR","No"
"ENSGALG00000015144",427254,7763,"ZFAND5","No"
"ENSGALG00000015145",427255,117531,"TMC1","No"
"ENSGALG00000015147",395264,216,"ALDH1A1","No"
"ENSGALG00000015148",404271,301,"ANXA1","No"
"ENSGALG00000015150",395980,6096,"RORB","Transcription Factor"
"ENSGALG00000015151",421092,9331,"B4GALT6","No"
"ENSGALG00000015152",418361,91653,"BOC","No"
"ENSGALG00000015153",421093,NA,"OPN5L1","No"
"ENSGALG00000015154",NA,140803,"TRPM6","No"
"ENSGALG00000015155",427256,138199,"CARNMT1","No"
"ENSGALG00000015156",427257,54981,"NMRK1","No"
"ENSGALG00000015157",421095,22878,"TRAPPC8","No"
"ENSGALG00000015163",421096,51444,"RNF138","No"
"ENSGALG00000015166",427260,2650,"GCNT1","No"
"ENSGALG00000015167",768768,158471,"PRUNE2","No"
"ENSGALG00000015170",427050,23230,"VPS13A","No"
"ENSGALG00000015172",418362,NA,NA,"No"
"ENSGALG00000015176",NA,9630,"GNA14","No"
"ENSGALG00000015177",427262,2776,"GNAQ","No"
"ENSGALG00000015179",431612,84131,"CEP78","No"
"ENSGALG00000015180",427263,29968,"PSAT1","No"
"ENSGALG00000015181",421098,64762,"GAREM1","No"
"ENSGALG00000015182",418364,25871,"NEPRO","No"
"ENSGALG00000015183",421099,NA,NA,"No"
"ENSGALG00000015184",374080,7091,"TLE4","Transcription Factor"
"ENSGALG00000015185",418365,6884,"TAF13","Transcription Factor"
"ENSGALG00000015190",418366,29083,"GTPBP8","No"
"ENSGALG00000015191",418367,344807,"CD200R1L","No"
"ENSGALG00000015193",395074,NA,"CCDC80","No"
"ENSGALG00000015195",396448,6209,"RPS15","No"
"ENSGALG00000015196",421102,80816,"ASXL3","No"
"ENSGALG00000015197",418368,55032,"SLC35A5","No"
"ENSGALG00000015198",769466,8715,"NOL4","No"
"ENSGALG00000015200",427266,26528,"DAZAP1","No"
"ENSGALG00000015203",NA,NA,NA,"No"
"ENSGALG00000015204",418369,64422,"ATG3","No"
"ENSGALG00000015205",395913,7306,"TYRP1","No"
"ENSGALG00000015208",769516,4920,"ROR2","No"
"ENSGALG00000015209",395326,4783,"NFIL3","Transcription Factor"
"ENSGALG00000015211",421104,1837,"DTNA","No"
"ENSGALG00000015213",427270,122664,"TPPP2","No"
"ENSGALG00000015215",421105,10982,"MAPRE2","No"
"ENSGALG00000015216",427272,6850,"SYK","No"
"ENSGALG00000015218",427957,10560,"SLC19A2","No"
"ENSGALG00000015219",100857837,NA,NA,"No"
"ENSGALG00000015221",418370,57821,"CCDC181","No"
"ENSGALG00000015224",771077,221264,"AK9","No"
"ENSGALG00000015225",418371,8548,"BLZF1","Transcription Factor"
"ENSGALG00000015226",421106,23514,"SPIDR","No"
"ENSGALG00000015230",100858145,29922,"NME7","No"
"ENSGALG00000015231",421763,9841,"ZBTB24","Transcription Factor"
"ENSGALG00000015233",396529,481,"ATP1B1","No"
"ENSGALG00000015234",NA,1188,"CLCNKB","No"
"ENSGALG00000015235",395914,NA,"XCL1","No"
"ENSGALG00000015237",421764,285755,"PPIL6","No"
"ENSGALG00000015240",418377,1371,"CPOX","No"
"ENSGALG00000015244",395793,9095,"TBX19","Transcription Factor"
"ENSGALG00000015246",418374,261726,"TIPRL","No"
"ENSGALG00000015247",418375,23432,"GPR161","No"
"ENSGALG00000015248",421113,54212,"SNTG1","No"
"ENSGALG00000015249",418376,8458,"TTF2","No"
"ENSGALG00000015252",395138,10402,"ST3GAL6","No"
"ENSGALG00000015253",418378,1295,"COL8A1","No"
"ENSGALG00000015254",421115,9705,"ST18","Transcription Factor"
"ENSGALG00000015256",427274,5066,"PAM","No"
"ENSGALG00000015257",101750732,54826,"GIN1","No"
"ENSGALG00000015258",418379,131566,"DCBLD2","No"
"ENSGALG00000015259",421116,9821,"RB1CC1","No"
"ENSGALG00000015261",421117,2831,"NPBWR1","No"
"ENSGALG00000015263",418380,NA,NA,"No"
"ENSGALG00000015264",427276,23262,"PPIP5K2","No"
"ENSGALG00000015267",418381,84319,"CMSS1","No"
"ENSGALG00000015268",768471,83594,"NUDT12","No"
"ENSGALG00000015269",428533,4986,"OPRK1","No"
"ENSGALG00000015271",NA,11259,"FILIP1L","No"
"ENSGALG00000015273",418383,55773,"TBC1D23","No"
"ENSGALG00000015274",421119,6917,"TCEA1","No"
"ENSGALG00000015275",418386,56954,"NIT2","No"
"ENSGALG00000015283",421765,285753,"CEP57L1","No"
"ENSGALG00000015284",427277,285704,"RGMB","No"
"ENSGALG00000015285",418387,9868,"TOMM70","No"
"ENSGALG00000015286",421766,27244,"SESN1","No"
"ENSGALG00000015287",418388,348801,"LNP1","No"
"ENSGALG00000015288",427278,55781,"RIOK2","No"
"ENSGALG00000015289",421767,84071,"ARMC2","No"
"ENSGALG00000015290",374264,167410,"LIX1","No"
"ENSGALG00000015293",418389,55076,"TMEM45A","No"
"ENSGALG00000015294",418390,84873,"ADGRG7","No"
"ENSGALG00000015297",421769,2310,"FOXO3B","Transcription Factor"
"ENSGALG00000015299",418391,10342,"TFG","No"
"ENSGALG00000015301",427279,4012,"LNPEP","No"
"ENSGALG00000015303",421770,246269,"AFG1L","No"
"ENSGALG00000015304",421772,8724,"SNX3","No"
"ENSGALG00000015305",396082,7101,"NR2E1","Transcription Factor"
"ENSGALG00000015306",421773,28962,"OSTM1","No"
"ENSGALG00000015307",NA,25890,"ABI3BP","No"
"ENSGALG00000015308",421774,11231,"SEC63","No"
"ENSGALG00000015311",427281,152006,"RNF38","No"
"ENSGALG00000015313",421777,57107,"PDSS2","No"
"ENSGALG00000015314",421778,57673,"BEND3","No"
"ENSGALG00000015315",427282,9830,"TRIM14","No"
"ENSGALG00000015316",421779,51250,"C3H6ORF203","No"
"ENSGALG00000015320",427283,54187,"NANS","No"
"ENSGALG00000015322",418393,50939,"IMPG2","No"
"ENSGALG00000015324",418395,NA,NA,"No"
"ENSGALG00000015326",427284,1211,"CLTA","No"
"ENSGALG00000015327",418396,54957,"TXNL4B","No"
"ENSGALG00000015328",418397,54931,"TRMT10C","No"
"ENSGALG00000015330",418398,57092,"PCNP","No"
"ENSGALG00000015331",427285,10020,"GNE","No"
"ENSGALG00000015332",427286,10815,"CPLX1","No"
"ENSGALG00000015333",427287,10336,"PCGF3","Transcription Factor"
"ENSGALG00000015334",418400,27107,"ZBTB11","Transcription Factor"
"ENSGALG00000015336",396120,NA,"CHRNA8","No"
"ENSGALG00000015338",421781,55278,"QRSL1","No"
"ENSGALG00000015339",418401,6152,"RPL24","No"
"ENSGALG00000015340",421126,96764,"TGS1","No"
"ENSGALG00000015342",NA,79598,"CEP97","No"
"ENSGALG00000015343",421782,84816,"RTN4IP1","No"
"ENSGALG00000015344",418403,91775,"NXPE3","No"
"ENSGALG00000015345",NA,202,"CRYBG1","No"
"ENSGALG00000015346",418404,64332,"NFKBIZ","No"
"ENSGALG00000015347",418405,131368,"ZPLD1","No"
"ENSGALG00000015348",396092,214,"ALCAM","No"
"ENSGALG00000015349",427290,54872,"PIGG","No"
"ENSGALG00000015351",418406,868,"CBLB","No"
"ENSGALG00000015352",NA,NA,NA,"No"
"ENSGALG00000015353",418407,56987,"BBX","Transcription Factor"
"ENSGALG00000015355",418408,961,"CD47","No"
"ENSGALG00000015356",418409,55081,"IFT57","No"
"ENSGALG00000015358",395534,57644,"MYH15","No"
"ENSGALG00000015360",418410,57650,"KIAA1524","No"
"ENSGALG00000015362",418412,50852,"TRAT1","No"
"ENSGALG00000015363",418413,55355,"HJURP","No"
"ENSGALG00000015364",NA,9626,"GUCA1C","No"
"ENSGALG00000015366",427292,NA,NA,"No"
"ENSGALG00000015367",418415,25945,"NECTIN3","No"
"ENSGALG00000015368",427293,84286,"TMEM175","No"
"ENSGALG00000015372",769146,521,"ATP5I","No"
"ENSGALG00000015373",395092,5158,"PDE6B","No"
"ENSGALG00000015374",396454,NA,"RBP4","No"
"ENSGALG00000015375",418417,257068,"PLCXD2","No"
"ENSGALG00000015376",427294,3425,"IDUA","No"
"ENSGALG00000015377",418418,90102,"PHLDB2","No"
"ENSGALG00000015378",418419,55347,"ABHD10","No"
"ENSGALG00000015379",418420,29114,"TAGLN3","No"
"ENSGALG00000015382",396321,8973,"CHRNA6","No"
"ENSGALG00000015384",395604,1142,"CHRNB3","No"
"ENSGALG00000015385",431620,55145,"THAP1","Transcription Factor"
"ENSGALG00000015386",427296,81790,"RNF170","No"
"ENSGALG00000015387",421784,9474,"ATG5","No"
"ENSGALG00000015388",445340,639,"PRDM1","Transcription Factor"
"ENSGALG00000015389",769974,344805,"TMPRSS7","No"
"ENSGALG00000015390",427297,84376,"HOOK3","No"
"ENSGALG00000015391",770239,56888,"KCMF1","No"
"ENSGALG00000015395",418424,NA,"CD200L","No"
"ENSGALG00000015396",418425,4345,"CD200","No"
"ENSGALG00000015397",427299,2339,"FNTA","No"
"ENSGALG00000015399",395073,84750,"FUT10","No"
"ENSGALG00000015400",770224,8545,"CGGBP1","Transcription Factor"
"ENSGALG00000015402",418429,285237,"C3orf38","No"
"ENSGALG00000015403",396402,2042,"EPHA3","No"
"ENSGALG00000015404",430761,NA,NA,"No"
"ENSGALG00000015405",421785,5550,"PREP","No"
"ENSGALG00000015407",429484,5324,"PLAG1","Transcription Factor"
"ENSGALG00000015409",418430,5627,"PROS1","No"
"ENSGALG00000015410",408032,11149,"BVES","No"
"ENSGALG00000015412",418431,200894,"ARL13B","No"
"ENSGALG00000015413",770351,415117,"STX19","No"
"ENSGALG00000015414",418432,63899,"NSUN3","No"
"ENSGALG00000015415",421788,57531,"HACE1","No"
"ENSGALG00000015416",421130,195814,"SDR16C5","No"
"ENSGALG00000015418",NA,285220,"EPHA6","No"
"ENSGALG00000015419",421131,5179,"PENK","No"
"ENSGALG00000015422",373906,3084,"NRG1","No"
"ENSGALG00000015425",396219,4023,"LPL","No"
"ENSGALG00000015428",NA,23362,"PSD3","No"
"ENSGALG00000015433",373945,19,"ABCA1","No"
"ENSGALG00000015434",428628,2898,"GRIK2","No"
"ENSGALG00000015435",NA,55827,"DCAF6","No"
"ENSGALG00000015436",421136,6386,"SDCBP","No"
"ENSGALG00000015437",768451,25874,"MPC2","No"
"ENSGALG00000015438",NA,9019,"MPZL1","No"
"ENSGALG00000015439",427301,23446,"SLC44A1","No"
"ENSGALG00000015441",395911,919,"CD247","No"
"ENSGALG00000015442",427302,83856,"FSD1L","No"
"ENSGALG00000015443",427303,2218,"FKTN","No"
"ENSGALG00000015446",396463,5451,"POU2F1","Transcription Factor"
"ENSGALG00000015450",396153,5862,"RAB2A","No"
"ENSGALG00000015451",NA,58499,"ZNF462","No"
"ENSGALG00000015453",418444,92235,"DUSP27","No"
"ENSGALG00000015458",418447,387597,"ILDR2","No"
"ENSGALG00000015459",418448,115560,"ZFP92","Transcription Factor"
"ENSGALG00000015461",396098,NA,NA,"No"
"ENSGALG00000015464",418449,5738,"PTGFRN","No"
"ENSGALG00000015465",421790,10973,"ASCC3","No"
"ENSGALG00000015466",396129,6492,"SIM1","Transcription Factor"
"ENSGALG00000015468",421792,NA,NA,"No"
"ENSGALG00000015471",421791,892,"CCNC","No"
"ENSGALG00000015473",418452,141,"ADPRH","No"
"ENSGALG00000015474",768950,NA,"CD80","No"
"ENSGALG00000015478",421793,85015,"USP45","No"
"ENSGALG00000015480",418455,56983,"POGLUT1","No"
"ENSGALG00000015483",421796,25957,"PNISR","No"
"ENSGALG00000015485",418458,51205,"ACP6","No"
"ENSGALG00000015486",421797,51805,"COQ3","No"
"ENSGALG00000015488",395846,2703,"GJA8","No"
"ENSGALG00000015489",428630,84553,"FAXC","No"
"ENSGALG00000015490",421798,26235,"FBXL4","No"
"ENSGALG00000015491",418459,653519,"GPR89A","No"
"ENSGALG00000015492",418460,5174,"PDZK1","No"
"ENSGALG00000015494",427963,3355,"HTR1F","No"
"ENSGALG00000015495",374215,5449,"POU1F1","Transcription Factor"
"ENSGALG00000015496",418461,25978,"CHMP2B","No"
