# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr2_96890408_96892041	SEMA4C (-21254), FAHD2B (+203614)
chr20_62536602_62537409	SLCO4A1 (-105439), GATA5 (-61036)
chr5_162192401_162193118	GABRG2 (+124985)
chr10_37952187_37952983	ZNF248 (-94975), ZNF25 (+24048)
chr3_105304194_105304940	ALCAM (-62342)
chr10_66321906_66322892	LRRTM3 (-603607)
chr18_22063048_22063809	GATA6 (-106014), MIB1 (+322109)
chr2_46309278_46309961	TMEM247 (-169945), EPAS1 (+12218)
chr5_143985877_143987193	HMHB1 (+174374), YIPF5 (+184124)
chr2_197909100_197910091	PLCL1 (+104894)
chr4_187478559_187479206	FAT1 (-755028), ZFP42 (-516888)
chr17_71378125_71379089	SOX9 (-742413)
chr13_106381018_106381694	EFNB2 (+153758), DAOA (+915067)
chr19_51960234_51961136	ZNF350 (+26141), ZNF613 (+33465)
chr8_124635366_124636104	MTSS1 (+92538), NDUFB9 (+96632)
chr5_170584163_170584993	GABRP (-198104), KCNIP1 (+80005)
chr2_41097735_41098440	PKDCC (-949932), SLC8A1 (-585727)
chr8_83910850_83911517	RALYL (-273691)
chr9_86507226_86508004	ZCCHC6 (-153203), GAS1 (+439574)
chr15_55782997_55785125	PRTG (-41082), NEDD4 (+133070)
chr16_86087438_86088202	FOXF1 (-422707), IRF8 (+189017)
chr17_61289291_61289952	TBX2 (-110274), BCAS3 (+610164)
chr10_88062528_88063494	KLLN (-199574), RNLS (+520202)
chr14_105010992_105011602	AHNAK2 (-32940), CDCA4 (+9851)
chr10_91652359_91652893	TNKS2 (-145686), PPP1R3C (-19572)
chr19_19276449_19276979	TM6SF2 (-3426)
chr8_8870410_8871220	MFHAS1 (+22830), CLDN23 (+168877)
chr12_2310839_2311689	FKBP4 (-483689), CACNA1C (+257701)
chr2_6986112_6986932	RNF144A (+69130)
chr8_6664425_6665483	ANGPT2 (-101545), AGPAT5 (-43403)
chr1_71295236_71295790	ZRANB2 (-214216), NEGR1 (+987221)
chr3_126932079_126932630	PLXNA1 (-56239), CHCHD6 (+228135)
chr7_45363278_45364285	ADCY1 (-210740), RAMP3 (+205991)
chr18_13220734_13221079	LDLRAD4 (-57196), CEP192 (+229545)
chr14_23358206_23358834	SLC22A17 (-5608), EFS (+7113)
chr9_123655711_123656296	DENND1A (+274103), CRB2 (+299744)
chr3_73687564_73688431	PDZRN3 (-63058), CNTN3 (+833142)
chr11_12200829_12201727	MICALCL (-85622), MICAL2 (+90687)
chr18_58535938_58536947	ALPK2 (+92514), NEDD4L (+492065)
chr17_15123456_15124135	PMP22 (+138793), HS3ST3B1 (+822713)
chr15_34046874_34048636	AVEN (-8579), EMC7 (+54193)
chr15_50137217_50137771	SLC27A2 (-44702), ATP8B4 (-18272)
chr20_811999_812651	SLC52A3 (-43741), FAM110A (-21452)
chr17_15468058_15468758	TEKT3 (-126767), TVP23C (+95136)
chr18_10010237_10011257	APCDD1 (-443881), VAPA (+96685)
chr22_39465064_39465379	MIEF1 (-34878), MGAT3 (+7878)
chr14_49917154_49917782	ARF6 (+24376), VCPKMT (+199089)
chr5_114325430_114326188	KCNN2 (-35136), YTHDC2 (+812126)
chr16_86045853_86046603	FOXF1 (-464299), IRF8 (+147425)
chr5_44645868_44646422	FGF10 (-257348), MRPS30 (-162780)
chr17_15398077_15399439	TEKT3 (-57117), TVP23C (+164786)
chr16_51797631_51798254	SALL1 (-646668), TOX3 (+749065)
chr11_81970507_81971264	PRCP (+929544)
chr10_93221821_93222667	CYP26A1 (+148354), MYOF (+259950)
chr18_59617134_59617995	LMAN1 (-257603), CCBE1 (+79815)
chr2_80517299_80517749	LRRTM1 (-212775)
chr18_74562115_74563128	ZNF407 (-68398), CNDP1 (+28182)
chr7_123270749_123272120	SLC13A1 (-71449), IQUB (+261513)
chr6_21459376_21460066	SOX4 (-133047), CDKAL1 (+925264)
chr2_132538393_132539147	GPR39 (+122196), LYPD1 (+131435)
chr4_36336507_36337142	DTHD1 (+52803)
chr5_38692430_38693298	OSMR (-153135), LIFR (-97460)
chr15_29736427_29737110	FAM189A1 (-166046), TJP1 (+85259)
chr4_52824583_52825889	ERVMER34-1 (-73596), RASL11B (-37054)
chr10_110717652_110718219	PDCD4 (-153871), RBM20 (+73539)
chr5_36537396_36538069	RANBP3L (-235833), SLC1A3 (-68622)
chr2_66753444_66754220	ETAA1 (-643487), MEIS1 (+318432)
chr20_33531279_33532269	SNTA1 (-87882), CBFA2T2 (-30591)
chr14_95302871_95303341	DICER1 (-145096), CLMN (+16800)
chr15_75140146_75140756	C15orf39 (-58441), PPCDC (+116896)
chr5_157607372_157607980	ADAM19 (-31901), SOX30 (+44744)
chr10_69842664_69843070	H2AFY2 (-209929), COL13A1 (+40935)
chr10_110443726_110444637	SMNDC1 (-139231), DUSP5 (-53656)
chr20_11403828_11404187	JAG1 (-729901), BTBD3 (-486820)
chr19_53016631_53017169	ERVV-2 (-27838), ERVV-1 (+2979)
chr11_128421381_128421962	ETS1 (+165886)
chr16_67453867_67454673	HSD11B2 (+23153), ATP6V0D1 (+26967)
chr8_134127748_134129018	ST3GAL1 (-556458), ZFAT (+584655)
chr5_131825371_131826024	FNIP1 (-28681), MEIKIN (+120000)
chr1_47906369_47907039	TRABD2B (+90191), FOXD2 (+470687)
chr3_36520358_36520958	STAC (+140314), DCLK3 (+219203)
chr20_59045605_59046423	PRELID3B (-3105)
chr2_128547771_128548178	HS6ST1 (-229398)
chr15_58281949_58282611	LIPC (-149518), AQP9 (+144084)
chr1_220829085_220829514	HLX (-50100), MARC1 (+42541)
chr1_117612595_117613436	FAM46C (+7082), GDAP2 (+316614)
chr1_162917929_162919548	RGS4 (-150036), HSD17B7 (+127993)
chr4_147723129_147723669	PRMT9 (-39169), ARHGAP10 (-8664)
chr2_65639168_65639830	MEIS1 (-795901), SPRED2 (-207322)
chr3_72193629_72194507	PROK2 (-409007), RYBP (+252553)
chr22_27531827_27532455	MN1 (+269357), CRYBA4 (+910177)
chr17_19519421_19520578	SLC47A1 (-13854), RNF112 (+108806)
chr8_139321472_139322509	COL22A1 (-407998), KCNK9 (+381065)
chr12_106519567_106520576	RFX4 (-81065), POLR3B (+162414)
chr6_41519402_41520466	FOXP4 (-26492), NCR2 (+184145)
chr3_55002430_55003138	LRTM1 (-74710), WNT5A (+484858)
chr4_134046112_134046925	PABPC4L (+155229), PCDH10 (+897204)
chr22_25761978_25762741	SEZ6L (-407215), MYO18B (+20126)
chr8_122033995_122034456	ZHX2 (-747168), HAS2 (-392836)
chr1_9281880_9282428	SPSB1 (-10726), H6PD (+42310)
chr6_78090022_78090770	IRAK1BP1 (-777076), MEI4 (+399738)
chr5_119400370_119400928	HSD17B4 (-51921), TNFAIP8 (+67474)
chr11_40329126_40329778	LRRC4C (-35338)
chr4_145679420_145680330	MMAA (+61612), ZNF827 (+258760)
chr6_29477974_29478842	MAS1L (+9548), OR2H1 (+21227)
chr7_22120471_22121123	CDCA7L (-174713), RAPGEF5 (+236117)
chr11_128749960_128751293	FLI1 (+56857), KCNJ1 (+91907)
chr12_109678104_109679097	MVK (+103794), TRPV4 (+136290)
chr4_26483917_26484735	CCKAR (+6136), RBPJ (+164616)
chr12_1972810_1973317	CACNA2D4 (-54228), DCP1B (+31447)
chr8_84099596_84100324	RALYL (-84915)
chr8_37859752_37860291	BRF2 (-10118), RAB11FIP1 (+39432)
chr4_147117340_147117825	EDNRA (-363349), POU4F2 (+478690)
chr8_10384184_10384617	PRSS51 (+133614), MSRA (+330133)
chr1_233034622_233035780	NTPCR (+84577), PCNX2 (+260512)
chr11_1654683_1655425	KRTAP5-6 (-42141), KRTAP5-5 (+25279)
chr6_112956705_112957217	MARCKS (-900401), RFPL4B (+609631)
chr5_179285061_179285961	ADAMTS2 (+59919), ZNF354C (+225096)
chr10_102312846_102313800	NFKB2 (-81274), GBF1 (+67791)
chr13_27024777_27025481	GPR12 (-264344), USP12 (+146767)
chr11_96447934_96448651	JRKL (+58299)
chr3_3906887_3907914	SETMAR (-395903), LRRN1 (+107964)
chr9_89632273_89632940	GADD45G (+27594)
chr10_124077123_124077775	CPXM2 (-185635), CHST15 (+16158)
chr6_88006455_88007159	AKIRIN2 (-304598), SPACA1 (-40982)
chr20_47453074_47453725	ZMYND8 (-96703), NCOA3 (-48527)
chr4_38050720_38051290	KLF3 (-613191), PTTG2 (+90570)
chr17_81234950_81235321	NDUFAF8 (-4103), TEPSIN (+3955)
chr10_29993331_29994001	SVIL (-358694), JCAD (+65858)
chr5_68436619_68437346	SLC30A5 (-656663), PIK3R1 (+221263)
chr10_47223264_47223887	GDF10 (-76810), PTPN20 (+291153)
chr20_34065394_34065791	EIF2S2 (+46739), RALY (+71871)
chr10_117428569_117428921	EMX2 (-113699), PDZD8 (-53278)
chr7_132702061_132702653	PLXNA4 (-125056), CHCHD3 (+379725)
chr12_41068089_41068649	PDZRN4 (-120079), CNTN1 (+375817)
chr1_172600565_172601442	FASLG (-58014), SUCO (+68655)
chr6_119791666_119792213	MAN1A1 (-442179)
chr2_28351926_28352660	RBKS (-461195), FOSL2 (-40565)
chr12_109029311_109029855	USP30 (-23003), SVOP (-8343)
chr2_16067887_16068706	MYCN (+127733), FAM49A (+597537)
chr8_86089550_86090145	PSKH2 (-20151), ATP6V0D2 (-8989)
chr12_70070444_70071012	CNOT2 (-172266), MYRFL (+245424)
chr7_136697766_136698592	MTPN (-720863), CHRM2 (-170490)
chr13_28329624_28330337	FLT1 (+165114), PAN3 (+191475)
chr8_74281426_74282074	JPH1 (+39578), LY96 (+290398)
chr3_89613181_89613860	EPHA3 (+505997)
chr1_156251545_156252053	PAQR6 (-3747)
chr2_37827747_37828432	CDC42EP3 (-155899), RMDN2 (-122373)
chr10_74643040_74644393	KAT6B (-182908), ADK (+492488)
chr10_11636770_11637402	ECHDC3 (-105280), USP6NL (-104811)
chr14_75782826_75783796	TTLL5 (+122033), TGFB3 (+197880)
chr10_16909148_16909980	RSU1 (-92181), CUBN (+220267)
chr10_19904124_19904973	PLXDC2 (+88310), NEBL (+993053)
chr12_19624231_19624963	PDE3A (-744648), AEBP2 (+184923)
chr13_93344253_93346289	GPC6 (+118429)
chr1_151356504_151357329	RFX5 (-9666), SELENBP1 (+15786)
chr4_4766352_4766821	STX18 (-224559), MSX1 (-93079)
chr4_68693565_68694287	UGT2B10 (-122067), UGT2B15 (-23298)
chr15_42316323_42316872	CAPN3 (-42989), GANC (+42356)
chr4_184094533_184095204	ENPP6 (+123092), STOX2 (+189513)
chr8_129710408_129711113	GSDMC (+76127)
chr6_137237336_137238503	IFNGR1 (-18471), OLIG3 (+256330)
chr6_164376814_164378096	QKI (+962812)
chr3_55570297_55570743	WNT5A (-82878), ERC2 (+897843)
chr2_136230580_136231293	THSD7B (-534608), CXCR4 (-114694)
chr1_182200175_182200870	ZNF648 (-138811), GLUL (+191683)
chr1_29688330_29689078	PTPRU (+452188)
chr16_22314743_22315209	POLR3E (+17567), CDR2 (+59641)
chr4_16129163_16130440	PROM1 (-46101), TAPT1 (+96739)
chr2_37837616_37839155	CDC42EP3 (-166195), RMDN2 (-112077)
chr21_38847954_38848671	ETS2 (+43006), PSMG1 (+335538)
chr10_6185098_6185615	PFKFB3 (+39041), PRKCQ (+394944)
chr4_106532997_106533877	GIMD1 (-166002), DKK2 (+502860)
chr10_84801501_84802266	CCSER2 (+473295)
chr1_31629012_31629435	HCRTR1 (+11524), PEF1 (+15663)
chr5_64292521_64293195	RGS7BP (-213441), RNF180 (+126976)
chr18_55149502_55150336	CCDC68 (-190411), TCF4 (+486108)
chr22_20002037_20002661	TXNRD2 (-60357), ARVCF (+14459)
chr8_107821375_107822056	ANGPT1 (-323706), RSPO2 (+261932)
chr10_114905453_114905964	ABLIM1 (-247411), TRUB1 (-32484)
chr22_44046574_44047230	PARVG (-133988), PARVB (+47691)
chr17_62875412_62876052	TANC2 (-133824), MARCH10 (-67388)
chr6_44740739_44741193	RUNX2 (-587403), CDC5L (+353441)
chr21_46023510_46024009	COL6A2 (-74337), COL6A1 (+42023)
chr7_147803462_147804113	CUL1 (-895124)
chr12_114913923_114914820	TBX3 (-230782)
chr11_81039426_81040543	NONE
chr5_57494569_57495058	ACTBL2 (-12005), PLK2 (+965446)
chr12_66012914_66013670	LLPH (+117476), HMGA2 (+188832)
chr13_30746248_30746720	MEDAG (-159707), ALOX5AP (+33006)
chr2_30359653_30360201	LCLAT1 (-87330), LBH (+128396)
chr3_171315670_171316631	SLC2A2 (-289401), TNIK (+144257)
chr4_28238889_28239416	NONE
chr2_214069324_214069752	VWC2L (-341527), SPAG16 (+785149)
chr17_72457616_72458327	SOX9 (+336952), SLC39A11 (+634716)
chr9_129863138_129863632	USP20 (+27915), FNBP1 (+179777)
chr9_133283392_133284264	ABO (-8614), SURF6 (+52570)
chr18_75799642_75800642	SMIM21 (-372439), ZNF516 (+695048)
chr20_19876862_19877508	RIN2 (-9336), SLC24A3 (+664539)
chr13_43986085_43986982	ENSG00000281883 (+102734), SMIM2 (+174723)
chr16_88282362_88283140	ZNF469 (-144720), BANP (+312733)
chr7_55245092_55245645	LANCL2 (-120079), EGFR (+226268)
chr14_85578627_85579345	FLRT2 (+48842)
chr4_124631792_124632251	ANKRD50 (+80710)
chr19_31113008_31113519	TSHZ3 (+236283), ZNF536 (+740852)
chr16_66030025_66030432	CDH11 (-908031), CDH5 (-336401)
chr5_127412779_127413121	PRRC1 (-104706), MEGF10 (+122091)
chr19_52723703_52724769	ZNF83 (-87150), ZNF611 (+10818)
chr15_84898731_84899143	PDE8A (-81503), SLC28A1 (+14276)
chr11_11993846_11994591	DKK3 (+15550), USP47 (+152153)
chr1_176846937_176847488	ASTN1 (+317477), PAPPA2 (+384042)
chr1_75058241_75058908	CRYZ (-325167), LHX8 (-69859)
chr5_123209125_123209900	PRDM6 (+120392), CEP120 (+213790)
chr11_56917707_56919057	OR9G4 (-174571), OR5AK2 (-70490)
chr10_28734954_28735436	LYZL1 (-553866), BAMBI (+57853)
chr11_12263134_12263566	MICALCL (-23550), MICAL2 (+152759)
chr18_48204262_48204919	CTIF (-334567), ZBTB7C (-39025)
chr10_32651007_32651951	EPC1 (-304294), ITGB1 (+306415)
chr14_40119198_40120207	FBXO33 (-687203)
chr1_9311273_9312013	SLC25A33 (-227839), SPSB1 (+18763)
chr19_23277742_23278381	ENSG00000283201 (-3841)
chr13_110245135_110245929	IRS2 (-458964), COL4A1 (+61617)
chr16_10976654_10977424	CLEC16A (+32551), SOCS1 (+279140)
chr8_116229980_116230839	TRPS1 (-561409), EIF3H (+525411)
chr12_101855071_101855786	GNPTAB (-24491), DRAM1 (-21922)
chr5_56409253_56410088	IL6ST (-414678), MAP3K1 (-405903)
chr13_41613573_41614456	RGCC (+156456), VWA8 (+347069)
chr2_22879096_22879721	KLHL29 (-505808)
chr20_24560932_24561617	CST7 (-387955), SYNDIG1 (+92076)
chr12_57023777_57024254	TAC3 (-7496), MYO1A (+26749)
chr7_16347785_16348922	MEOX2 (-661542), ISPD (+72968)
chr6_146876173_146876921	STXBP5 (-327986), ADGB (+277582)
chr15_86855516_86856472	AGBL1 (+712272)
chr7_158086051_158086666	PTPRN2 (+501320), DNAJB6 (+749393)
chr8_139017151_139017700	COL22A1 (-103433), KCNK9 (+685630)
chr2_54360104_54360551	TSPYL6 (-104056), SPTBN1 (-95957)
chr4_53875405_53876313	LNX1 (-284243), CHIC2 (+188831)
chr14_74879754_74880146	DLST (-1943)
chr10_26779274_26780110	ABI1 (+81243), PDSS1 (+82033)
chr20_51859965_51860600	SALL4 (-57763), ZFP64 (+331703)
chr10_76353057_76353892	LRMDA (+922022)
chr5_92979472_92980147	NR2F1 (-603527)
chr17_69047106_69048250	ABCA8 (-92437), ABCA9 (+13386)
chr4_53019820_53020725	RASL11B (+157983), SCFD2 (+345802)
chr15_70049848_70050458	TLE3 (+48023), RPLP1 (+597369)
chr11_130814653_130815493	SNX19 (+101436), ADAMTS15 (+366099)
chr17_45101842_45102761	DCAKD (-41193), PLCD3 (+30196)
chr10_79397810_79398256	ZCCHC24 (+47594), PPIF (+50555)
chr11_21921050_21921855	ANO5 (-271723)
chr10_48579280_48580131	ARHGAP22 (+25246), MAPK8 (+273067)
chr17_11807404_11808189	ZNF18 (+189575), DNAH9 (+209366)
chr2_140400200_140401472	NONE
chr3_124385883_124386556	UMPS (-344146), KALRN (+291539)
chr5_117486672_117487486	SEMA6A (-912684)
chr6_35003720_35004377	ANKS1A (+114784), TCP11 (+137598)
chr2_203626964_203627624	RAPH1 (-91884), CD28 (-79254)
chr3_139830746_139831183	NMNAT3 (-153019), CLSTN2 (-104220)
chr3_140585804_140586504	TRIM42 (-91885), CLSTN2 (+650969)
chr17_10192286_10193276	RCVRN (-287160), GAS7 (+5770)
chr2_217843479_217844366	TNP1 (-983859), TNS1 (+100205)
chr17_41360457_41361069	KRT33A (-9951), KRT33B (+9037)
chr11_126996013_126997059	KIRREL3 (+4223), ST3GAL4 (+590754)
chr7_97479874_97480897	TAC1 (-251522), SDHAF3 (+363796)
chr4_12485677_12486269	RAB28 (+998392)
chr9_7320183_7320625	DMAC1 (+479663), KDM4C (+562748)
chr17_73600241_73600972	CDC42EP4 (-288432), SDK2 (+43482)
chr4_26520886_26521598	TBC1D19 (-62674), CCKAR (-30780)
chr10_78584448_78585055	ZMIZ1 (-484283), RPS24 (+550992)
chr7_149202651_149203250	ZNF212 (-36700), ZNF282 (+7466)
chr16_53936157_53937558	FTO (+232895), IRX3 (+349905)
chr1_17155419_17156189	PADI1 (-49322), PADI2 (-36369)
chr2_16204754_16205294	MYCN (+264460), FAM49A (+460810)
chr1_87712260_87712986	PKN2 (-971599), LMO4 (+384155)
chr17_32859940_32860533	MYO1D (+16940), CDK5R1 (+373618)
chr2_149219780_149220343	LYPD6 (-110475), LYPD6B (+181595)
chr8_84286116_84287191	LRRCC1 (-820493), RALYL (+101779)
chr2_100684983_100685619	NPAS2 (-134851), PDCL3 (+122611)
chr2_232259954_232260489	ALPP (-118312), DIS3L2 (+298639)
chrY_14743392_14744196	NLGN4Y (+220048)
chr16_85091417_85091955	FAM92B (+20822), KIAA0513 (+28474)
chrX_108250555_108251378	ATG4A (+159299), COL4A6 (+187463)
chr7_33979414_33980290	NPSR1 (-678557), BMPER (+74941)
chr5_135743367_135744304	CXCL14 (-164557), SLC25A48 (-90891)
chr9_5892529_5893006	MLANA (+1966), RANBP6 (+122850)
chr19_17097639_17098617	USE1 (-117231), MYO9B (+22347)
chr21_35102609_35103480	RUNX1 (-53701), SETD4 (+957216)
chr7_4189146_4189590	FOXK1 (-492941), SDK1 (+887920)
chr6_21281394_21281999	SOX4 (-311071), CDKAL1 (+747240)
chr18_36382289_36383142	FHOD3 (+84880), TPGS2 (+446126)
chr18_74674242_74675236	ZNF407 (+43719), ZADH2 (+534609)
chr1_168405625_168406339	TBX19 (+124942), XCL2 (+138015)
chr2_30548285_30549310	LCLAT1 (+101541), CAPN13 (+258648)
chr5_109584830_109585539	PJA2 (-175191), MAN2A1 (-104181)
chr17_8707621_8708699	MYH10 (-77399), CCDC42 (+36676)
chr7_68798297_68798986	AUTS2 (-800691)
chr4_15293950_15294668	C1QTNF7 (-45627), CPEB2 (+291635)
chr16_66534373_66534805	TK2 (+15823), BEAN1 (+107292)
chr12_65523099_65523875	HMGA2 (-300973), MSRB3 (+244844)
chr5_154630369_154630738	HAND1 (-152290), LARP1 (-82348)
chr6_105300891_105301590	POPDC3 (-121381), PREP (+101843)
chr20_13525258_13525728	TASP1 (+113447), ISM1 (+303722)
chr5_175344250_175345007	DRD1 (+99579), MSX2 (+620096)
chr8_71035368_71036039	EYA1 (+326528), XKR9 (+366339)
chr18_45617196_45617630	SLC14A1 (-109312), SLC14A2 (+2612)
chr1_220966851_220967608	HLX (+87830), DUSP10 (+774946)
chr4_12940680_12941163	RAB28 (+543443)
chr1_93667746_93668440	BCAR3 (+179057), FNBP1L (+219962)
chr1_53129446_53130315	SLC1A7 (+12751), PODN (+67668)
chr4_108540592_108541541	LEF1 (-372645), RPL34 (-79589)
chr1_67439129_67439784	GADD45A (-245604), SERBP1 (-9071)
chr17_11490380_11491071	DNAH9 (-107705), SHISA6 (+249463)
chrX_53882286_53882797	HUWE1 (-198373), PHF8 (+162707)
chr11_116348987_116350004	CADM1 (-844931), BUD13 (+423492)
chr1_43052976_43053571	SLC2A1 (-94101), EBNA1BP2 (+119296)
chr2_188496056_188497009	COL3A1 (-477787), GULP1 (+203701)
chr17_11487297_11488138	DNAH9 (-110713), SHISA6 (+246455)
chr11_128660961_128661758	ETS1 (-73802), FLI1 (-32410)
chr20_16189044_16189836	KIF16B (+383993)
chr8_23350660_23351226	LOXL2 (+53297), R3HCC1 (+63035)
chr11_15703991_15704584	INSC (+591864), SOX6 (+772100)
chr15_45088843_45089839	DUOX2 (+24820), SORD (+66237)
chr1_18412784_18413137	KLHDC7A (-68021), IGSF21 (+305215)
chr8_132360611_132361344	HHLA1 (-249819), KCNQ3 (+120041)
chr2_52192247_52193192	NONE
chr2_68120853_68121633	C1D (-58260), WDR92 (+36317)
chr1_58508539_58509116	OMA1 (+37972)
chr3_107124777_107125316	BBX (-397929)
chr11_74018439_74019993	UCP3 (-9781), C2CD3 (+151803)
chr9_81604332_81605085	TLE1 (+84596)
chr3_66416454_66417122	LRIG1 (+84144), SLC25A26 (+283178)
chr16_16021811_16022512	ABCC1 (+72585), ABCC6 (+201302)
chr15_69890826_69891818	TLE3 (+206854), RPLP1 (+438538)
chr10_57106188_57106835	ZWINT (-745237)
chr20_39488392_39489147	DHX35 (+526435)
chr20_23211788_23212990	NXT1 (-138347), CD93 (-126049)
chr1_55428629_55429663	USP24 (-214033)
chr2_216914351_216914890	TNP1 (-54557)
chr12_51524524_51524936	SCN8A (-66506), SLC4A8 (+99959)
chr4_64213356_64214015	TECRL (+195776)
chr6_49772136_49772671	CRISP3 (-27967), PGK2 (+14903)
chr2_16240365_16240813	MYCN (+300025), FAM49A (+425245)
chr11_116826738_116827096	APOA4 (-3611), APOC3 (-2975)
chr5_122362276_122362899	SNX2 (-412408), SNCAIP (+50381)
chr17_17435140_17435715	MED9 (-41558), NT5M (+132093)
chr6_150668144_150669279	PLEKHG1 (-52376), IYD (+299820)
chr1_82042270_82043129	ADGRL2 (+736534)
chr18_1995060_1995517	METTL4 (+576197)
chr7_46390531_46391851	IGFBP3 (-469940)
chr20_38084283_38085325	RPRD1B (+51258), TGM2 (+80568)
chr10_91054244_91054903	PCGF5 (-165577), ANKRD1 (-133298)
chr18_22493471_22494715	RBBP8 (-439733), CTAGE1 (-76178)
chr14_98593013_98594171	BCL11B (+677636)
chr22_27913015_27913843	MN1 (-111931), PITPNB (+5770)
chr3_171895426_171896632	FNDC3B (-144525), TMEM212 (+52680)
chr11_57167248_57167869	LRRC55 (-14188), OR5AK2 (+178687)
chr1_111605633_111606559	ADORA3 (-102336), RAP1A (-13687)
chr9_89817204_89817830	GADD45G (+212504), DIRAS2 (+825588)
chr11_87554962_87555747	TMEM135 (+517348), RAB38 (+620112)
chr4_47213978_47214475	GABRB1 (+182867), COMMD8 (+249492)
chr6_137729923_137730534	OLIG3 (-235979), TNFAIP3 (-136959)
chr11_132886319_132886935	OPCML (+57044), NTM (+975165)
chr16_78244105_78244795	WWOX (+145037)
chr1_115216896_115217606	TSPAN2 (-127787), NGF (+120985)
chr16_53121164_53121838	RBL2 (-312919), CHD9 (+66468)
chr3_59559754_59560781	FAM3D (-893420)
chr3_27077114_27077621	NEK10 (+292053), LRRC3B (+454562)
chr20_34124563_34124916	ASIP (-69829), EIF2S2 (-12408)
chr14_33989750_33990416	EGLN3 (-39002), SPTSSA (+472273)
chr10_23461617_23462128	KIAA1217 (-747291), OTUD1 (+22415)
chr16_73027652_73028126	PMFBP1 (-855634), ZFHX3 (+103205)
chr1_64138413_64139050	UBE2U (-65075), ROR1 (+364689)
chr11_35511582_35512164	SLC1A2 (-92624), PAMR1 (+13750)
chr21_44006170_44006821	TRAPPC10 (-5823), AGPAT3 (+81488)
chr9_114166594_114167004	ORM1 (-156257), COL27A1 (+11239)
chr11_57224124_57224927	APLNR (+12675), LRRC55 (+42779)
chr1_119488908_119489629	HSD3B1 (-17934), HSD3B2 (+74338)
chrX_13357983_13358365	EGFL6 (-211448), ATXN3L (-37775)
chr6_114272436_114273055	HDAC2 (-301461), HS3ST5 (+70299)
chr1_204883218_204883918	CNTN2 (-159556), NFASC (+54914)
chr2_11473497_11474306	GREB1 (-60214), E2F6 (-7753)
chrX_18762715_18763631	PPEF1 (+72260), PHKA2 (+221425)
chr16_49900203_49900887	CNEP1R1 (-123865), ZNF423 (-73535)
chr2_117269578_117270006	DDX18 (-544858)
chr7_138116037_138116630	TRIM24 (-344000), AKR1D1 (+39857)
chr2_77807372_77808269	LRRTM4 (-285482)
chr21_31929639_31930184	HUNK (+56597), MIS18A (+349157)
chr20_60821891_60823163	CDH4 (-429899), CDH26 (+864100)
chr5_124527247_124527649	ZNF608 (+217977), CSNK1G3 (+981814)
chr3_141353784_141354566	ZBTB38 (-33637), PXYLP1 (+122347)
chr2_28654591_28655229	PPP1CB (-96943), PLB1 (+158839)
chr20_14223782_14224884	FLRT3 (+113275), MACROD2 (+228964)
chr9_92727019_92727429	IPPK (-56959), BICD2 (+37588)
chr1_105632493_105633210	NONE
chr8_40542931_40543431	ZMAT4 (+354644), C8orf4 (+389726)
chr9_113692261_113692753	ZNF618 (-183775), RGS3 (+247776)
chr11_124078558_124079025	OR10D3 (-105452), OR10G7 (-37467)
chr14_23652888_23653563	DHRS4 (-300360), DHRS2 (+16853)
chr16_25060727_25061336	LCMT1 (-50697), ARHGAP17 (-45701)
chr18_38433764_38434252	CELF4 (-867971)
chr11_111360139_111360582	POU2AF1 (+19331), COLCA2 (+61806)
chr5_9716834_9717269	TAS2R1 (-86697), FAM173B (+532834)
chr8_144386641_144387286	ADCK5 (+12912), CPSF1 (+22385)
chr9_75377875_75378470	PCSK5 (-512471), OSTF1 (+289630)
chr15_43879711_43880191	WDR76 (+52988), FRMD5 (+315280)
chr5_135123922_135124754	PITX1 (-90040), H2AFY (+275284)
chr8_110808259_110808807	KCNV1 (-832686)
chr13_64274436_64274901	NONE
chr1_32493924_32494997	ZBTB8A (-44966), ZBTB8B (+29392)
chr11_11294027_11294739	ZBED5 (-436310), CSNK2A3 (+58974)
chr5_90096524_90097234	CETN3 (+312878)
chr7_46619724_46620331	IGFBP3 (-698777), TNS3 (+962116)
chr5_166787950_166788691	TENM2 (-966682)
chr8_48420094_48420914	EFCAB1 (+314728), UBE2V2 (+412104)
chr14_70149082_70149750	SLC8A3 (+39654), SMOC1 (+270000)
chr15_56251330_56252159	TEX9 (-113682), RFX7 (-8479)
chr10_65350623_65351385	NONE
chr3_110343208_110344054	NECTIN3 (-728112)
chr1_31172179_31172747	PUM1 (-106768), NKAIN1 (+67091)
chrX_40262220_40263159	ATP6AP2 (-318185), BCOR (-165287)
chr10_127928148_127928881	PTPRE (+21454), MKI67 (+197870)
chr10_131270052_131271072	PPP2R2D (-630082)
chr6_128271114_128271795	THEMIS (-370382), PTPRK (+249021)
chr20_5548791_5549526	PROKR2 (-234790), GPCPD1 (+61867)
chr14_91283776_91284598	GPR68 (-30262), CCDC88C (+133590)
chr2_188526861_188527667	COL3A1 (-447056), GULP1 (+234432)
chr15_63407516_63407984	USP3 (-96861), CA12 (-25589)
chr3_68705907_68706589	FAM19A4 (+226362), FAM19A1 (+702032)
chr4_128559458_128559933	PGRMC2 (-270867), JADE1 (-249927)
chr12_130683513_130684593	RIMBP2 (-166188), STX2 (+155141)
