# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19816965_19818286	NAV2 (+104029), DBX1 (+342987)
chr5_5671565_5672279	ICE1 (+249228), MED10 (+706672)
chr19_23665523_23666468	ZNF91 (-270436), ZNF675 (+21206)
chr9_117080839_117081400	ASTN2 (+333950), TRIM32 (+393818)
chr20_23391460_23392399	NAPB (+29589), GZF1 (+29748)
chr1_238379470_238380601	MTRNR2L11 (-434761)
chr1_93124663_93125519	MTF2 (+45853), TMED5 (+55637)
chr12_31340314_31340738	FAM60A (-14154), DENND5B (+249916)
chrX_37476582_37477230	LANCL3 (-94746), PRRG1 (+127576)
chr1_215055420_215056116	KCNK2 (-27468), CENPF (+452573)
chr5_65264191_65264883	ADAMTS6 (+217383), CWC27 (+495607)
chr13_33179508_33180191	STARD13 (+105905), KL (+163417)
chr18_61718902_61719573	RNF152 (+174521), CDH20 (+385656)
chr12_74540910_74541434	ATXN7L3B (+3345), KCNC2 (+668696)
chr11_17917613_17918694	SERGEF (+95008), KCNC1 (+183365)
chr7_49855317_49856006	VWC2 (+82001), ZPBP (+237602)
chr2_209864448_209865388	RPE (-137647), UNC80 (+92925)
chr3_143794566_143795365	SLC9A9 (+53565), CHST2 (+675635)
chr17_71080858_71081363	KCNJ2 (+911576)
chr5_91183894_91184440	ARRDC3 (+199192), ADGRV1 (+625370)
chr13_87793019_87793732	SLITRK5 (+120761)
chr11_47061532_47062136	ARFGAP2 (+115248), C11orf49 (+125056)
chr2_40143677_40144398	THUMPD2 (-364771), SLC8A1 (+368323)
chr8_123207036_123207436	FAM83A (+28189), ZHX1 (+67251)
chr8_37880706_37881289	BRF2 (-31094), RAB11FIP1 (+18456)
chr20_64176390_64177741	PCMTD2 (-78702), MYT1 (+12592)
chr4_92359189_92360162	GRID2 (+56054)
chr15_53110574_53111664	ONECUT1 (-321107), WDR72 (+651759)
chr2_122655224_122656006	TSN (+900082)
chr2_119853887_119854511	EPB41L5 (-158806), PTPN4 (+94568)
chr2_109102702_109103324	EDAR (-113641), SH3RF3 (-26335)
chr4_11821870_11822547	HS3ST1 (-392444)
chr10_13233034_13233853	UCMA (+887)
chr2_170077628_170078780	MYO3B (-99941), UBR3 (+250696)
chr11_80319963_80321075	TENM4 (-879868)
chr6_148764657_148765159	TAB2 (-556144), UST (+17580)
chr5_113776024_113776857	KCNN2 (-584504), YTHDC2 (+262758)
chr4_125797512_125797996	FAT4 (+481355)
chr11_98494812_98496036	CNTN5 (-525766)
chr15_90161082_90161497	IDH2 (-58786), SEMA4B (-40029)
chr3_66055243_66056739	SLC25A26 (-77619), MAGI1 (-17683)
chr4_182416678_182417187	TENM3 (+173504), DCTD (+500446)
chr12_19496155_19496885	PDE3A (-872725), AEBP2 (+56846)
chr9_91927777_91928513	NFIL3 (-504283), ROR2 (+22017)
chr20_19265608_19266087	RIN2 (-620673), SLC24A3 (+53202)
chr11_111822456_111823898	PPP2R1B (-56795), ALG9 (+48404)
chrX_104522397_104523007	ESX1 (-267769), IL1RAPL2 (-43613)
chr16_23409790_23410482	COG7 (+43044), SCNN1B (+107866)
chr5_102154852_102155483	SLCO4C1 (+141381)
chr7_147999807_148000744	CUL1 (-698636)
chr5_24923074_24923878	CDH10 (-278498)
chr11_13434442_13435010	BTBD10 (+5553), ARNTL (+156895)
chr4_24867415_24868221	SOD3 (+72355), LGI2 (+163061)
chr1_235286989_235288091	RBM34 (-126083), ARID4B (+39947)
chr12_42240272_42240810	YAF2 (-2305)
chr21_20276477_20277332	NCAM2 (-721410)
chr4_109453128_109453514	MCUB (-106884), SEC24B (+19549)
chr1_39683664_39684206	NT5C1A (-11897), HPCAL4 (+7754)
chr10_29666636_29667678	SVIL (-32185), JCAD (+392367)
chr18_78094042_78095189	SALL3 (-885659), GALR1 (+844067)
chr18_69230223_69230610	DOK6 (-170638), CCDC102B (+432337)
chr18_72091380_72091911	CBLN2 (+452893)
chr17_5699557_5700211	WSCD1 (-369222), NLRP1 (-115372)
chr4_179124248_179125341	NONE
chr12_97426320_97427147	NEDD1 (+519268)
chrX_16198896_16199806	S100G (-450807), GRPR (+75795)
chr4_22884150_22884525	ADGRA3 (-368284)
chr14_68340037_68340772	ZFP36L1 (+452835), RAD51B (+520626)
chr18_37175727_37176156	KIAA1328 (+346825), CELF4 (+390095)
chr12_99086880_99087622	FAM71C (-560502), APAF1 (+442110)
chr6_154503806_154504258	IPCEF1 (-173951), CNKSR3 (+6627)
chr2_230828117_230828811	ITM2C (-36436), CAB39 (+115619)
chr12_100970541_100971493	ANO4 (+176059), SLC5A8 (+239390)
chr2_60510807_60511203	BCL11A (+42493)
chr6_87653254_87654382	AKIRIN2 (+48391), ORC3 (+63683)
chr2_131831651_131832348	GPR39 (-584574), MZT2A (-339578)
chr10_93915584_93915963	PLCE1 (-115038), SLC35G1 (+21801)
chr13_111064047_111064500	ANKRD10 (-149205), ARHGEF7 (-51003)
chr6_54942654_54943019	HCRTR2 (-163623), FAM83B (+96066)
chr15_88308669_88309668	NTRK3 (-52438), MRPL46 (+158250)
chr8_91025848_91026659	C8orf88 (-40997), TMEM55A (+14810)
chr2_231162805_231163744	ARMC9 (-42964), HTR2B (-38157)
chr4_91577649_91578251	GRID2 (-725672)
chr18_32009860_32010758	TRAPPC8 (-67209), RNF125 (-8063)
chrX_24377752_24378386	PDK3 (-87387), ZFX (+228345)
chr4_27087452_27088003	STIM2 (+226887)
chr10_24494338_24495320	ARHGAP21 (+228839), KIAA1217 (+285665)
chr3_37301836_37302650	C3orf35 (-96919), GOLGA4 (+58991)
chr10_90812115_90813529	HTR7 (+44876)
chr1_35393685_35394049	ZMYM4 (+124900), KIAA0319L (+163546)
chr5_168827458_168828462	PANK3 (-248360), SLIT3 (+472822)
chr4_133942953_133943605	PABPC4L (+258469), PCDH10 (+793964)
chr12_87939150_87939620	C12orf50 (+90027)
chr11_131845238_131845860	SNX19 (-929040), NTM (-65913)
chr20_11536855_11537637	JAG1 (-863139), BTBD3 (-353582)
chr1_93100359_93100907	MTF2 (+21395), TMED5 (+80095)
chr9_117091485_117091989	ASTN2 (+323333), TRIM32 (+404435)
chrX_143278196_143279159	SLITRK4 (+355825)
chr2_169140090_169140719	DHRS9 (+73370), LRP2 (+222280)
chr7_72430586_72430951	CALN1 (-18396), TYW1B (+397429)
chr14_31292781_31293609	HECTD1 (-85712), ENSG00000203546 (+164212)
chr16_20889293_20890009	DCUN1D3 (+10733), REXO5 (+83152)
chr10_52967915_52968478	MBL2 (-196497)
chr8_14312606_14313447	C8orf48 (+746184), SGCZ (+925312)
chr6_96196617_96197252	UFL1 (-324873), FUT9 (+180951)
chr6_41214785_41215304	TREML2 (-13851), TREML4 (-13279)
chr11_8180399_8181013	RIC3 (-11717), LMO1 (+83152)
chr12_17358855_17359352	LMO3 (-751954), RERGL (+731089)
chr21_14616413_14617325	SAMSN1 (-33467), NRIP1 (+448131)
chr12_7162659_7163225	PEX5 (-26903), CLSTN3 (+32743)
chr15_57932144_57932989	ALDH1A2 (+133851), POLR2M (+225938)
chr4_68367701_68368266	TMPRSS11E (-79465), YTHDC1 (-18231)
chr14_38003715_38004614	FOXA1 (-409131), SSTR1 (-203834)
chr3_85504365_85505170	CADM2 (-221714)
chr6_149701637_149702163	KATNA1 (-53096), LATS1 (+16356)
chrX_118971394_118971847	LONRF3 (-3129)
chr11_9675735_9676230	SWAP70 (+11906), SBF2 (+618224)
chr10_20208861_20209460	PLXDC2 (+392922), NEBL (+688441)
chr10_88499280_88500217	KLLN (-636312), RNLS (+83464)
chr13_49367832_49368454	CAB39L (+45608), CDADC1 (+120218)
chr8_13875985_13876647	C8orf48 (+309473)
chr11_89571440_89572218	TRIM77 (-138470), NOX4 (-80344)
chr9_77956618_77956959	GNA14 (-308482), GNAQ (+74669)
chr10_2456529_2457181	ADARB2 (-719379), PFKP (-610665)
chr4_120003868_120004630	PDE5A (-375258), MAD2L1 (+62825)
chr12_116517560_116518356	MED13L (-240620), MAP1LC3B2 (-41423)
chr5_180440232_180440693	GFPT2 (-87076), CNOT6 (-53970)
chr11_66228291_66229082	KLC2 (-28607), PACS1 (+158233)
chr12_28388627_28389313	FAR2 (-760230), CCDC91 (+198524)
chr10_59206885_59207668	PHYHIPL (+30687), FAM13C (+155273)
chr21_27206279_27206797	ADAMTS5 (-240025)
chr3_30259746_30260158	TGFBR2 (-346649), RBMS3 (+978606)
chr6_142863780_142864386	HIVEP2 (+82282), ADGRG6 (+562154)
chr1_43422314_43423053	HYI (+31141), SZT2 (+32788)
chr1_72034804_72035361	ZRANB2 (-953786), NEGR1 (+247651)
chr3_134105976_134106643	SLCO2A1 (-76234), RYK (+144434)
chr1_208448277_208449060	PLXNA2 (-204349)
chr18_37160136_37160732	KIAA1328 (+331317), CELF4 (+405603)
chr7_55343957_55345586	LANCL2 (-20676), EGFR (+325671)
chr19_7284010_7284939	INSR (+9559), ZNF557 (+215031)
chr19_50983672_50984330	KLK7 (-186)
chr15_52111890_52112790	BCL2L10 (+428)
chr17_1569090_1569685	PITPNA (-6572), SLC43A2 (+58953)
chr3_97269079_97269684	ARL6 (-495146), EPHA6 (+454796)
chr8_52589584_52590306	ALKAL1 (-24438), RB1CC1 (+124487)
chr4_133593783_133594839	PCDH10 (+444996), PABPC4L (+607437)
chr15_22827025_22828059	NIPA2 (-11118), NIPA1 (+40910)
chr15_86590348_86590778	AGBL1 (+446841)
chr18_5995543_5996192	TMEM200C (-99913), L3MBTL4 (+371815)
chr11_119496914_119497802	THY1 (-73230), NECTIN1 (+231726)
chr17_37105585_37106896	C17orf78 (-269802), AATF (+157366)
chr9_71952042_71952671	ABHD17B (-41426), C9orf57 (+108248)
chr10_70041171_70042610	H2AFY2 (-10905), COL13A1 (+239959)
chr19_33927761_33928435	LSM14A (-244468), KCTD15 (+129712)
chr5_12865233_12865925	CTNND2 (-961536)
chr12_116726695_116727428	C12orf49 (+10999), MAP1LC3B2 (+167681)
chr3_160983896_160984423	B3GALNT1 (+121191), PPM1L (+227952)
chr2_44430136_44430797	SIX3 (-511431), CAMKMT (+68503)
chr13_34990147_34990957	NBEA (+48265), MAB21L1 (+486657)
chr18_51120670_51121871	MEX3C (+76049), SMAD4 (+91058)
chr22_35048774_35049440	ISX (-17029)
chr19_29690847_29691358	C19orf12 (+23953), PLEKHF1 (+26047)
chr6_26409343_26409862	BTN3A3 (-30869), BTN3A1 (+7366)
chr7_24436473_24436875	MPP6 (-136672), NPY (+152486)
chr17_67733131_67734125	BPTF (-92037), NOL11 (+15795)
chr18_58791154_58791865	ZNF532 (-71090), MALT1 (+120124)
chr14_25576022_25577046	STXBP6 (-526237)
chr20_21570308_21570968	PAX1 (-135021), NKX2-2 (-56612)
chr5_19767986_19768565	CDH18 (+807597)
chr11_17931442_17932215	SERGEF (+81333), KCNC1 (+197040)
chr2_178845754_178846644	TTN (-38776), CCDC141 (+203860)
chr12_86943719_86944744	MGAT4C (-894509)
chr18_6929421_6930264	ARHGAP28 (+95368), LAMA1 (+187971)
chr6_56927861_56928422	DST (-76226), BEND6 (-27150)
chr11_82675807_82676496	PRCP (+224278)
chr8_132687459_132687969	LRRC6 (-12097), TMEM71 (+72868)
chr17_50925313_50926045	TOB1 (-59334), SPAG9 (+195186)
chr1_209630203_209630800	LAMB3 (+20832), CAMK1G (+46785)
chr20_25750830_25751584	ZNF337 (-64250)
chr2_44470232_44470804	SIX3 (-471380), CAMKMT (+108554)
chrX_113804060_113805017	AMOT (-981413), HTR2C (-779539)
chr6_29618071_29618601	GABBR1 (+14849), OR2H2 (+33215)
chr4_188659060_188659617	TRIML1 (+519920)
chr3_125862595_125863289	OSBPL11 (-267852), ALG1L (+71531)
chr12_98837209_98837672	FAM71C (-810312), APAF1 (+192300)
chr11_14317986_14319061	RRAS2 (+40660), SPON1 (+355835)
chrX_65480909_65481527	ZC4H2 (-504734), ZC3H12B (-7517)
chr8_110746314_110746838	KCNV1 (-770729)
chr2_207276879_207277359	CREB1 (-252773), KLF7 (-111174)
chr4_152926620_152927322	TRIM2 (-277495), ARFIP1 (+147034)
chr14_62445466_62445998	SYT16 (+449909), KCNH5 (+599723)
chr7_104453100_104453802	KMT2E (-560728), LHFPL3 (+124795)
chr3_152602595_152603470	P2RY1 (-231660), MBNL1 (+334993)
chr20_3580439_3580857	GFRA4 (+82751), ATRN (+109608)
chr10_106708583_106708999	SORCS1 (+455743)
chr1_91104593_91105400	ZNF644 (-82742), HFM1 (+299872)
chr1_21126384_21127272	HP1BP3 (-340140), EIF4G3 (+50019)
chr10_60419360_60419822	CDK1 (-358863), ANK3 (-29861)
chr4_175277577_175278139	ADAM29 (+359500), GPM6A (+724474)
chr5_95093214_95094034	MCTP1 (+190951), SLF1 (+475277)
chr6_47229199_47229823	ADGRF1 (-187148), TNFRSF21 (+80394)
chr8_100573729_100574530	ANKRD46 (-14388), SNX31 (+75535)
chr7_39399966_39401142	YAE1D1 (-165822), POU6F2 (+422556)
chr11_11628785_11629743	USP47 (-212802), GALNT18 (-7259)
chr14_75811706_75813023	TTLL5 (+151087), TGFB3 (+168826)
chr7_88153285_88153922	SRI (+66475), ADAM22 (+219217)
chr16_5925904_5926466	EEF2KMT (-828377), RBFOX1 (-93518)
chr8_68791522_68792530	SULF1 (-674598), PREX2 (+839908)
chr3_4432263_4432725	SUMF1 (+34787), SETMAR (+129190)
chr11_37006576_37007247	RAG2 (-408633)
chr2_220373950_220375377	SLC4A3 (+747099)
chr17_27944684_27945211	NOS2 (-144449), NLK (-97208)
chr1_212106238_212107094	PPP2R5A (-178871), DTL (+71089)
chr1_197890414_197891448	DENND1B (-115438), LHX9 (-26468)
chr4_65635219_65635857	EPHA5 (+34957)
chr13_112351804_112352331	SPACA7 (-24251), SOX1 (+284421)
chr9_75457510_75457978	PCSK5 (-432900), OSTF1 (+369201)
chr12_105367901_105368739	APPL2 (-132237), NUAK1 (+771713)
chr3_32734820_32735502	TRIM71 (-82857), CNOT10 (+39620)
chr10_8428431_8429047	GATA3 (+374046)
chr1_100304709_100305267	CDC14A (-47503), RTCA (+38739)
chr6_42241819_42242290	MRPS10 (-24190), TRERF1 (+209996)
chr6_24571444_24571931	KIAA0319 (+74467), ALDH5A1 (+76719)
chr5_91038098_91038605	ARRDC3 (+345007), ADGRV1 (+479555)
chr16_5134616_5135681	RBFOX1 (-884554), EEF2KMT (-37341)
chr20_2446989_2447404	SNRPB (+23656), TGM6 (+66289)
chr2_216051467_216052048	MREG (-38145), PECR (+30058)
chr3_119255854_119256662	ARHGAP31 (-38115), B4GALT4 (-15619)
chr5_164148388_164149111	MAT2B (+643202)
chr20_13571533_13572497	TASP1 (+66925), ISM1 (+350244)
chr13_21846503_21847457	FGF9 (+175597)
chr16_89392861_89393209	ANKRD11 (+97526), ZNF778 (+175332)
chr7_31688145_31689052	PPP1R17 (+1884), PDE1C (+610730)
chr10_110174311_110174738	MXI1 (-33080), ADD3 (+166563)
chr8_78153333_78153842	PKIA (-362551)
chr12_46043933_46044705	SCAF11 (-53754), SLC38A1 (+223382)
chr18_40897898_40898262	NONE
chr6_24997142_24998210	CARMIL1 (-281752), RIPOR2 (-61624)
chr10_112927554_112928463	TCF7L2 (-22398), VTI1A (+480751)
chr7_129279629_129280135	STRIP2 (-154551), AHCYL2 (+54859)
chr20_14466877_14467630	FLRT3 (-129646)
chr3_10416604_10417459	SEC13 (-95948), ATP2B2 (+88552)
chr1_84289278_84289748	DNASE2B (-109019), PRKACB (+145242)
chr16_23754096_23755421	CHP2 (+132)
chr20_48839566_48840049	ARFGEF2 (-82082), PREX1 (-11925)
chr5_60905829_60906698	ELOVL7 (-61875), ERCC8 (+38787)
chr5_96144305_96144906	ELL2 (-182535), PCSK1 (+288674)
chr15_29400786_29401101	NSMCE3 (-131115), FAM189A1 (+169779)
chr7_111899610_111900642	IMMP2L (-337835), DOCK4 (+306269)
chr20_63167634_63168258	BHLHE23 (-160911), YTHDF1 (+48288)
chr6_134311955_134312513	SLC2A12 (-259598), SGK1 (+5824)
chr4_40196345_40197291	RHOH (-89)
chr6_136591658_136592403	MAP7 (-65818), MAP3K5 (+200487)
chr3_166071273_166072243	BCHE (-234286)
chr4_14169789_14170595	CPEB2 (-832482), BOD1L1 (-542469)
chr4_103948330_103948974	TACR3 (-228836), CXXC4 (+546242)
chr12_104708520_104709433	SLC41A2 (+219678), CHST11 (+252004)
chr2_110167387_110168364	MALL (-51310), NPHP1 (+37166)
chr9_26152005_26152756	CAAP1 (+740423)
chr18_55862851_55864179	TCF4 (-227488), TXNL1 (+775130)
chr3_173301624_173302198	SPATA16 (-160643), NLGN1 (-96537)
chr9_120078102_120078682	BRINP1 (-708925), CDK5RAP2 (+501766)
chr8_62296012_62296585	NKAIN3 (+47357), GGH (+742872)
chr8_42858364_42859048	THAP1 (-15381), RNF170 (+38017)
chr3_167602180_167602631	SERPINI2 (-128274), PDCD10 (+132420)
chr8_130389378_130390201	FAM49B (-449958), ASAP1 (+53870)
chr5_62496791_62497529	LRRC70 (-81575), IPO11 (+78276)
chr7_71652114_71652975	GALNT17 (+520376), CALN1 (+759828)
chr12_89965900_89966509	ATP2B1 (-257374), CCER1 (+988971)
chr3_98326405_98326987	OR5K4 (-27158), OR5H2 (+43808)
chr2_195805286_195805769	SLC39A10 (+148781), DNAH7 (+263284)
chr20_4581705_4582181	ADRA1D (-332869), PRNP (-104293)
chr5_91338711_91339511	ARRDC3 (+44248), ADGRV1 (+780314)
chr6_168171416_168172281	FRMD1 (-92690), DACT2 (+147873)
chr3_43539154_43539693	ANO10 (+82644), SNRK (+252884)
chr1_89918098_89919080	ZNF326 (-76526), LRRC8D (+97557)
chr1_223074297_223074950	TLR5 (+62663), DISP1 (+146200)
chr22_48198843_48199820	FAM19A5 (-290128)
chr15_36090281_36091071	DPH6 (-544508)
chr5_18534068_18534634	ENSG00000250782 (+899891)
chr16_23223030_23223940	SCNN1B (-78785), SCNN1G (+40770)
chr9_133199852_133200381	GBGT1 (-36172), OBP2B (+9133)
chr4_61723476_61723960	ADGRL3 (+521576)
chr13_99718154_99718637	CLYBL (+111727), ZIC5 (+253513)
chr2_148519106_148519607	EPC2 (-125627), MBD5 (+498346)
chr11_67542948_67543546	GSTP1 (-40348), CABP2 (-19851)
chr11_117473631_117474272	CEP164 (+146097), DSCAML1 (+323309)
chr3_152744995_152746299	P2RY1 (-89046), MBNL1 (+477607)
chr11_100956075_100957193	TMEM133 (-35355), ARHGAP42 (+268958)
chr4_186240642_186241168	F11 (-25040), KLKB1 (+13503)
chrX_129696375_129697517	XPNPEP2 (-42076), APLN (-42009)
chr13_55673910_55674291	NONE
chr12_63021189_63021988	PPM1H (-86552), AVPR1A (+129353)
chr20_8918201_8918628	PLCB4 (-389385), PLCB1 (+786150)
chr11_6099655_6100095	OR56A1 (-72134), OR56B4 (-7809)
chr7_92685445_92686009	FAM133B (-95333), CDK6 (+148190)
chr11_7620554_7621424	CYB5R2 (+53219), PPFIBP2 (+107219)
chr12_17680204_17680688	RERGL (+409747)
chr9_131942498_131943638	RAPGEF1 (-233347), MED27 (+136840)
chr11_31139181_31139897	DNAJC24 (-230301), DCDC1 (-146853)
chr8_79303424_79304291	IL7 (-498335), STMN2 (-307294)
chr3_183907109_183907807	PARL (-22551), ABCC5 (+110557)
chr14_99224148_99225042	BCL11B (+46633)
chrX_27057807_27058285	MAGEB5 (+841877)
chr5_112795090_112796187	ENSG00000258864 (-31574), APC (+57751)
chr1_115632567_115633354	NGF (-294725), VANGL1 (-8992)
chr11_105389941_105390386	CARD18 (-250438), GRIA4 (-219909)
chr2_49403672_49404492	FSHR (-249545)
chr13_32191705_32192343	ZAR1L (+123320), FRY (+160724)
chr3_197580263_197580672	BDH1 (-24481), RUBCN (+156251)
chr1_55323583_55324143	USP24 (-108750)
chr4_118948667_118949245	MYOZ2 (-186828), SYNPO2 (+60115)
chr9_29511545_29512052	LINGO2 (-841514)
chr19_51408683_51409343	LIM2 (-21058), SIGLEC10 (+8685)
chr8_74077117_74077464	LY96 (+85939), JPH1 (+244037)
chr7_78038607_78039167	PHTF2 (+240082)
chr5_179705091_179705686	MAML1 (-27461), CANX (+6483)
chr13_24931635_24932435	PABPC3 (-163833), CENPJ (-9155)
chr7_3283029_3283746	CARD11 (-239443), SDK1 (-18060)
chr17_12644259_12645097	MYOCD (-21311), MAP2K4 (+623844)
chr12_94169541_94169885	PLXNC1 (+20990), CEP83 (+290239)
chr6_40743200_40744097	LRFN2 (-156184), UNC5CL (+295568)
chr1_27141499_27142171	FAM46B (-128999), SLC9A1 (+13075)
chr4_183773639_183774244	STOX2 (-131414), TRAPPC11 (+114675)
chr16_22103273_22103833	SDR42E2 (-62030), VWA3A (+11011)
chr7_82312556_82313586	HGF (-542873), CACNA2D1 (+130727)
chr8_54880856_54882042	XKR4 (-220940), RP1 (+265382)
chr4_8396665_8397273	ACOX3 (+43742), HTRA3 (+127204)
chrX_115317870_115318639	PLS3 (-242927), LUZP4 (+28502)
chrX_129188037_129188969	SMARCA1 (+334902)
chr1_202361330_202362487	PPP1R12B (+13210), SYT2 (+281544)
chr1_200365928_200366527	ZNF281 (+43828), NR5A2 (+338626)
chr1_18783966_18785244	TAS1R2 (+75077), PAX7 (+153599)
chr9_32955682_32956346	APTX (+45562), TMEM215 (+172515)
chr19_50244298_50244988	MYH14 (+40998), KCNC3 (+84734)
chr8_28870698_28871282	INTS9 (+18974), EXTL3 (+169663)
chr2_228397267_228397786	SPHKAP (-215882), PID1 (+834558)
chr11_340465_342070	B4GALNT4 (-28536), IFITM3 (-20218)
chr2_198860866_198861959	SATB2 (+596683)
chr14_74161430_74161951	VSX2 (-77781), LIN52 (+76895)
chr2_140882743_140883282	NONE
chr1_197129651_197130145	F13B (-62631), ASPM (+16796)
chr20_39899739_39900385	MAFB (+789178), DHX35 (+937727)
chrX_114471973_114473129	HTR2C (-111527)
chr3_118479643_118480581	IGSF11 (+554776)
chr1_170503441_170504175	GORAB (-28321), METTL11B (+357807)
chr9_5303626_5304792	RLN2 (+760)
chr6_13769467_13770055	RANBP9 (-58197), MCUR1 (+44807)
chr2_22193942_22195052	NONE
chr6_88532410_88532950	CNR1 (-366321), RNGTT (+431041)
chr7_154255157_154255785	DPP6 (+202791), PAXIP1 (+747613)
chr13_61125366_61126079	PCDH20 (+289799), TDRD3 (+728430)
chr7_127979156_127979738	LRRC4 (+51623), SND1 (+327267)
chr16_73356273_73357016	PSMD7 (-940130), ZFHX3 (-225551)
chr1_227586707_227587383	SNAP47 (-147951), ZNF678 (+23502)
chr9_97276454_97277710	CTSV (-237439), CCDC180 (-30577)
chr4_48225303_48226214	TXK (-91503), TEC (+44105)
chr7_106944189_106944719	PRKAR2B (-100195), PIK3CG (+78975)
chr9_132002444_132003683	RAPGEF1 (-293343), MED27 (+76844)
chr14_37995020_37995445	FOXA1 (-400199), SSTR1 (-212766)
chr10_105102735_105103445	SORCS3 (+461989)
chr6_118630029_118630980	CEP85L (+79570), PLN (+82207)
chr3_59784259_59784688	NONE
chr10_79599606_79600092	SFTPA2 (-39454), SFTPA1 (-11096)
chr18_14904965_14906081	ANKRD30B (+157283)
chr13_77118090_77118506	FBXL3 (-91148), MYCBP2 (+208381)
chr1_63536454_63537404	PGM1 (-86164), EFCAB7 (+13539)
chr2_53034935_53035759	CHAC2 (-732445)
chr6_152633425_152634005	SYNE1 (+3684), ESR1 (+943219)
chr9_36560830_36561252	RNF38 (-160825), MELK (-11821)
chr2_187675648_187676363	GULP1 (-616826), TFPI (-121514)
chr7_154318385_154319009	DPP6 (+266017), PAXIP1 (+684387)
chr2_166772973_166773843	SCN7A (-286440), XIRP2 (-115079)
chr1_62476678_62477207	ANGPTL3 (-120544), USP1 (+40288)
chr2_60052871_60054152	BCL11A (+499986)
chr15_55352509_55353507	PIGBOS1 (-33963), CCPG1 (+55251)
chr17_73685967_73686617	RPL38 (-517361), SDK2 (-42203)
chr7_32611075_32611672	AVL9 (+115885), KBTBD2 (+280523)
chr2_42623033_42623847	MTA3 (+54694), OXER1 (+140821)
chr8_66783946_66784440	MCMDC2 (-86556), SGK3 (+9012)
chr4_36264354_36264937	ARAP2 (-20137), DTHD1 (-19376)
chr5_163563874_163564205	MAT2B (+58492)
chr12_126384845_126385450	NONE
chr6_47358451_47359297	CD2AP (-118915), TNFRSF21 (-48969)
chr1_119679325_119679743	PHGDH (+31123), HMGCS2 (+89360)
chr11_22234702_22235258	SLC17A6 (-103117), ANO5 (+41804)
chr4_11469696_11470728	HS3ST1 (-40447)
chr14_47044737_47045216	RPL10L (-393156), MDGA2 (+629612)
chr12_100920221_100921005	ANO4 (+125655), SLC5A8 (+289794)
chr22_39510585_39511263	ATF4 (-9640), MIEF1 (+10824)
chr1_150302380_150303264	PRPF3 (-18654), MRPS21 (+8902)
chr2_47662319_47662875	MSH6 (-120485), KCNK12 (-91658)
chr7_72420273_72420909	CALN1 (-8218), TYW1B (+407607)
chr3_122777639_122777965	HSPBAP1 (+16022), PARP14 (+97184)
chr1_109355166_109355988	MYBPHL (-48536), SORT1 (+42374)
chr4_92422029_92422577	GRID2 (+118681)
chr5_84600053_84600637	EDIL3 (-215552)
chr13_107023392_107024121	ARGLU1 (-455593), FAM155A (+842978)
chr1_7399052_7399461	VAMP3 (-372012), CAMTA1 (+613933)
chr11_89220453_89221288	TYR (+43419), NOX4 (+270614)
chr16_12181149_12181784	SNX29 (+204729), CPPED1 (+622550)
chr10_33519295_33519882	NRP1 (-183327)
chr4_152520946_152521736	GATB (-760318), FBXW7 (+14760)
chr13_75676111_75676839	LMO7 (+39817)
chr5_131931961_131932861	FNIP1 (-135394), MEIKIN (+13287)
chr6_169697259_169697601	C6orf120 (-4760), WDR27 (+4223)
chr6_57024333_57024752	KIAA1586 (-22006), BEND6 (+69251)
chr8_114311191_114311975	CSMD3 (-874484)
chr6_14286199_14287196	JARID2 (-959598), CD83 (+169057)
chr4_82522768_82523539	TMEM150C (+39203), ENOPH1 (+92592)
chr1_31366632_31367298	FABP3 (+6111), ZCCHC17 (+69983)
chr8_124136884_124137720	TMEM65 (+235390), FER1L6 (+285315)
chr13_109722033_109722522	IRS2 (+64290)
chr3_165984342_165985030	BCHE (-147214)
chr3_116259832_116260343	LSAMP (+185443), GAP43 (+636578)
chr17_75327787_75328124	SLC25A19 (-40282), GRB2 (+77530)
chr12_2779334_2779759	FKBP4 (-15406), CACNA1C (+725984)
chr18_24265381_24266296	CABYR (+126744), OSBPL1A (+132020)
chr17_40409822_40410648	GJD3 (-46420), TOP2A (+7715)
chrX_129686516_129687134	XPNPEP2 (-52197), APLN (-31888)
chr18_76965710_76966113	ZNF236 (+143305), MBP (+166857)
chr2_63780327_63781049	UGP2 (-61022), MDH1 (+191537)
chr4_45984822_45985642	GABRG1 (+138849)
chr7_112674056_112674963	TMEM168 (+116082), LSMEM1 (+193519)
chr4_39889148_39889852	PDS5A (+88456), UBE2K (+191456)
chr6_7421143_7421487	DSP (-120260), CAGE1 (-31572)
chr12_29070161_29070675	FAR2 (-78782), CCDC91 (+879972)
chr8_8616665_8617227	PRAG1 (-230448), CLDN23 (-84992)
chr15_56226255_56226965	NEDD4 (-309479), RFX7 (+16656)
chr5_98752279_98753101	RGMB (-16605)
chr4_107098249_107099151	DKK2 (-62403), PAPSS1 (+621752)
chr18_46433077_46433935	RNF165 (+99282), LOXHD1 (+125806)
chr9_82883405_82884372	RASEF (+179239), SPATA31D1 (+895117)
chr10_119496091_119496744	RGS10 (+46290), GRK5 (+288829)
chr11_121614681_121615292	SORL1 (+162784), BLID (+501228)
chr5_167219170_167219738	TENM2 (-535549)
